Dwell Time	
2.92E+03	2916 
2.06E+03	2060 
1.66E+03	1662 
1.63E+03	1633 
1.87E+03	1865 
2.25E+03	2252 
2.71E+03	2705 
3.16E+03	3158 
3.58E+03	3576 
3.95E+03	3952 
4.30E+03	4296 
4.64E+03	4637 
5.00E+03	5004 
5.42E+03	5417 
5.89E+03	5885 
6.40E+03	6396 
6.92E+03	6923 
7.43E+03	7428 
7.87E+03	7873 
8.23E+03	8228 
8.48E+03	8480 
8.63E+03	8634 
8.72E+03	8716 
8.76E+03	8763 
8.82E+03	8819 
8.93E+03	8931 
9.14E+03	9139 
9.47E+03	9471 
9.94E+03	9942 
1.06E+04	10550 
1.13E+04	11275 
1.21E+04	12076 
1.29E+04	12900 
1.37E+04	13687 
1.44E+04	14371 
1.49E+04	14898 
1.52E+04	15225 
1.53E+04	15329 
1.52E+04	15210 
1.49E+04	14891 
1.44E+04	14417 
1.39E+04	13850 
1.33E+04	13268 
1.28E+04	12756 
1.24E+04	12397 
1.23E+04	12265 
1.24E+04	12414 
1.29E+04	12872 
1.36E+04	13631 
1.47E+04	14650 
1.59E+04	15852 
1.71E+04	17130 
1.84E+04	18360 
1.94E+04	19411 
2.02E+04	20167 
2.05E+04	20540 
2.05E+04	20486 
2.00E+04	20017 
1.92E+04	19197 
1.81E+04	18138 
1.70E+04	16990 
1.59E+04	15914 
1.51E+04	15069 
1.46E+04	14585 
1.45E+04	14548 
1.50E+04	14988 
1.59E+04	15870 
1.71E+04	17097 
1.85E+04	18519 
2.00E+04	19955 
2.12E+04	21208 
2.21E+04	22101 
2.25E+04	22493 
2.23E+04	22304 
2.15E+04	21521 
2.02E+04	20201 
1.85E+04	18463 
1.65E+04	16463 
1.44E+04	14377 
1.24E+04	12374 
1.06E+04	10593 
9.13E+03	9132 
8.04E+03	8035 
7.30E+03	7299 
6.88E+03	6879 
6.70E+03	6703 
6.69E+03	6691 
6.77E+03	6765 
6.87E+03	6869 
6.97E+03	6971 
7.07E+03	7065 
7.17E+03	7169 
7.32E+03	7315 
7.54E+03	7536 
7.86E+03	7857 
8.28E+03	8282 
8.80E+03	8797 
9.37E+03	9368 
9.95E+03	9945 
1.05E+04	10478 
1.09E+04	10924 
1.13E+04	11260 
1.15E+04	11484 
1.16E+04	11619 
1.17E+04	11707 
1.18E+04	11801 
1.20E+04	11950 
1.22E+04	12197 
1.26E+04	12565 
1.31E+04	13061 
1.37E+04	13673 
1.44E+04	14377 
1.51E+04	15138 
1.59E+04	15919 
1.67E+04	16675 
1.74E+04	17364 
1.79E+04	17945 
1.84E+04	18385 
1.87E+04	18663 
1.88E+04	18776 
1.87E+04	18742 
1.86E+04	18595 
1.84E+04	18389 
1.82E+04	18182 
1.80E+04	18031 
1.80E+04	17986 
1.81E+04	18079 
1.83E+04	18320 
1.87E+04	18701 
1.92E+04	19193 
1.98E+04	19753 
2.03E+04	20327 
2.09E+04	20858 
2.13E+04	21294 
2.16E+04	21590 
2.17E+04	21717 
2.17E+04	21668 
2.15E+04	21459 
2.11E+04	21133 
2.08E+04	20750 
2.04E+04	20384 
2.01E+04	20109 
2.00E+04	19987 
2.01E+04	20056 
2.03E+04	20330 
2.08E+04	20790 
2.14E+04	21391 
2.21E+04	22072 
2.28E+04	22762 
2.34E+04	23354 
2.38E+04	23809 
2.41E+04	24091 
2.42E+04	24191 
2.41E+04	24121 
2.39E+04	23909 
2.36E+04	23587 
2.32E+04	23180 
2.27E+04	22701 
2.21E+04	22147 
2.15E+04	21496 
2.07E+04	20721 
1.98E+04	19787 
1.87E+04	18672 
1.74E+04	17367 
1.59E+04	15889 
1.43E+04	14286 
1.26E+04	12639 
1.11E+04	11055 
9.66E+03	9657 
8.57E+03	8571 
7.90E+03	7899 
7.71E+03	7705 
7.99E+03	7994 
8.71E+03	8705 
9.72E+03	9716 
1.09E+04	10854 
1.19E+04	11923 
1.27E+04	12737 
1.32E+04	13155 
1.31E+04	13112 
1.26E+04	12634 
1.18E+04	11836 
1.09E+04	10910 
1.01E+04	10082 
9.57E+03	9571 
9.54E+03	9539 
1.00E+04	10045 
1.10E+04	11027 
1.23E+04	12315 
1.37E+04	13688 
1.49E+04	14942 
1.59E+04	15947 
1.67E+04	16663 
1.71E+04	17117 
1.74E+04	17364 
1.75E+04	17460 
1.74E+04	17446 
1.74E+04	17352 
1.72E+04	17202 
1.70E+04	17022 
1.68E+04	16842 
1.67E+04	16700 
1.66E+04	16631 
1.67E+04	16667 
1.68E+04	16831 
1.71E+04	17131 
1.76E+04	17557 
1.81E+04	18082 
1.87E+04	18667 
1.93E+04	19262 
1.98E+04	19816 
2.03E+04	20285 
2.06E+04	20633 
2.08E+04	20839 
2.09E+04	20890 
2.08E+04	20785 
2.05E+04	20532 
2.01E+04	20147 
1.97E+04	19656 
1.91E+04	19093 
1.85E+04	18503 
1.79E+04	17933 
1.74E+04	17435 
1.71E+04	17054 
1.68E+04	16823 
1.68E+04	16761 
1.69E+04	16868 
1.71E+04	17129 
1.75E+04	17523 
1.80E+04	18024 
1.86E+04	18603 
1.92E+04	19232 
1.99E+04	19874 
2.05E+04	20490 
2.10E+04	21030 
2.14E+04	21439 
2.17E+04	21659 
2.16E+04	21639 
2.13E+04	21338 
