Read the target shape in
 ./files/input/20190307ErrorBetweenMirrorandCylinder1stSputter60nmOffset.txt
Read the unit sputter yield in
 ./files/input/20190325SputterYieldon20190324_2.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5500
  # Unit     :    2175
  # 1/2 Unit :    1087
  # All      :    9850
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0040

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:     44400, alpha:   14.2500, rms:    1.7200
loop:     44800, alpha:   14.2500, rms:    1.7195
loop:     45200, alpha:   14.2500, rms:    1.7191
loop:     45600, alpha:   14.2500, rms:    1.7188
loop:     46000, alpha:   14.2500, rms:    1.7184
loop:     46400, alpha:   14.2500, rms:    1.7180
loop:     46800, alpha:   14.2500, rms:    1.7176
loop:     47200, alpha:   14.2500, rms:    1.7173
loop:     47600, alpha:   14.2500, rms:    1.7169
loop:     48000, alpha:   14.2500, rms:    1.7166
loop:     48400, alpha:   14.2500, rms:    1.7162
loop:     48800, alpha:   14.2500, rms:    1.7159
loop:     49200, alpha:   14.2500, rms:    1.7156
loop:     49600, alpha:   14.2500, rms:    1.7152
Have memorized arrays 6 times
loop:     50000, alpha:   14.2500, rms:    1.7149
loop:     50400, alpha:   14.2500, rms:    1.7146
loop:     50800, alpha:   14.2500, rms:    1.7143
loop:     51200, alpha:   14.2500, rms:    1.7140
loop:     51600, alpha:   14.2500, rms:    1.7137
loop:     52000, alpha:   14.2500, rms:    1.7135
loop:     52400, alpha:   14.2500, rms:    1.7132
loop:     52800, alpha:   14.2500, rms:    1.7129
loop:     53200, alpha:   14.2500, rms:    1.7126
loop:     53600, alpha:   14.2500, rms:    1.7124
loop:     54000, alpha:   14.2500, rms:    1.7121
loop:     54400, alpha:   14.2500, rms:    1.7119
loop:     54800, alpha:   14.2500, rms:    1.7116
loop:     55200, alpha:   14.2500, rms:    1.7114
loop:     55600, alpha:   14.2500, rms:    1.7111
loop:     56000, alpha:   14.2500, rms:    1.7109
loop:     56400, alpha:   14.2500, rms:    1.7107
loop:     56800, alpha:   14.2500, rms:    1.7104
loop:     57200, alpha:   14.2500, rms:    1.7102
loop:     57600, alpha:   14.2500, rms:    1.7100
loop:     58000, alpha:   14.2500, rms:    1.7098
loop:     58400, alpha:   14.2500, rms:    1.7096
loop:     58800, alpha:   14.2500, rms:    1.7093
loop:     59200, alpha:   14.2500, rms:    1.7091
loop:     59600, alpha:   14.2500, rms:    1.7089
Have memorized arrays 7 times
loop:     60000, alpha:   14.2500, rms:    1.7087
loop:     60400, alpha:   14.2500, rms:    1.7085
loop:     60800, alpha:   14.2500, rms:    1.7083
loop:     61200, alpha:   14.2500, rms:    1.7081
loop:     61600, alpha:   14.2500, rms:    1.7080
loop:     62000, alpha:   14.2500, rms:    1.7078
loop:     62400, alpha:   14.2500, rms:    1.7076
loop:     62800, alpha:   14.2500, rms:    1.7074
loop:     63200, alpha:   14.2500, rms:    1.7072
loop:     63600, alpha:   14.2500, rms:    1.7071
loop:     64000, alpha:   14.2500, rms:    1.7069
