     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-110000          Iteration-120000          Iteration-130000          Iteration-140000          Iteration-150000          Iteration-160000          Iteration-170000          Iteration-180000          Iteration-190000          Iteration-200000          Iteration-200001 
         0  0.000000000000000000e+00 -1.370099665240564946e+01 -1.294088227429807603e+01 -1.265480517522522064e+01 -1.249245332796215280e+01 -1.238633562459099835e+01 -1.231413723203689869e+01 -1.226138180610828954e+01 -1.222119189053347554e+01 -1.218492163794516614e+01 -1.215244520161382979e+01 -1.212314953447162225e+01 -1.209752026127040381e+01 -1.207460794611790789e+01 -1.205255409759797658e+01 -1.203194388981401630e+01 -1.201313022114192108e+01 -1.199592511076718893e+01 -1.198032383587803906e+01 -1.196591778064112077e+01 -1.195233093611869890e+01 -1.195232958148994840e+01 
         1  0.000000000000000000e+00 -1.348933942447973777e+01 -1.272758341089507894e+01 -1.244042119613149566e+01 -1.227718790745558408e+01 -1.217025725164285177e+01 -1.209727835318111033e+01 -1.204378310892198556e+01 -1.200297320862401307e+01 -1.196614018127314694e+01 -1.193317131973219603e+01 -1.190344686844161970e+01 -1.187743104102949587e+01 -1.185415956734036058e+01 -1.183174418988448906e+01 -1.181093261273755957e+01 -1.179201585437454014e+01 -1.177473967925615739e+01 -1.175910031128918831e+01 -1.174468684374286909e+01 -1.173112018881391805e+01 -1.173111883708304504e+01 
         2  0.000000000000000000e+00 -1.327433222356549436e+01 -1.251102221857894392e+01 -1.222282976930424070e+01 -1.205875889926852551e+01 -1.195105171899513152e+01 -1.187732221514306730e+01 -1.182310434609999561e+01 -1.178167331594298162e+01 -1.174427041468817379e+01 -1.171079722341292495e+01 -1.168062829049139850e+01 -1.165422198876120774e+01 -1.163058513700141816e+01 -1.160789935105256632e+01 -1.158697438504989918e+01 -1.156797530632653093e+01 -1.155064758313218931e+01 -1.153498849304759233e+01 -1.152058208977157960e+01 -1.150703895794470100e+01 -1.150703760939467202e+01 
         3  0.000000000000000000e+00 -1.305681486518398060e+01 -1.229203863157374599e+01 -1.200287083322152171e+01 -1.183800618893786805e+01 -1.172955884819265293e+01 -1.165510859631223184e+01 -1.160018868053916208e+01 -1.155813551874859968e+01 -1.152015584919132607e+01 -1.148616663963912288e+01 -1.145553784969823141e+01 -1.142872961828038569e+01 -1.140472892555484918e+01 -1.138193522268429092e+01 -1.136091971441652504e+01 -1.134185974530285534e+01 -1.132450065496936986e+01 -1.130883688862635950e+01 -1.129444413422160665e+01 -1.128093508577143211e+01 -1.128093374138597937e+01 
         4  0.000000000000000000e+00 -1.283762758650524916e+01 -1.207147307188856189e+01 -1.178138490814049533e+01 -1.161577033591206032e+01 -1.150661922246831637e+01 -1.143147812617846171e+01 -1.137588037047063949e+01 -1.133320440887200675e+01 -1.129464137809478075e+01 -1.126012482488366118e+01 -1.122902112517527939e+01 -1.120179258674448874e+01 -1.117758070706889839e+01 -1.115470263534700734e+01 -1.113361989877881797e+01 -1.111452116840217741e+01 -1.109714782321458415e+01 -1.108148897711629388e+01 -1.106712213998818584e+01 -1.105365806573277609e+01 -1.105365672652837361e+01 
         5  0.000000000000000000e+00 -1.261761018446966887e+01 -1.185016561470055763e+01 -1.155921227082328073e+01 -1.139289175805873811e+01 -1.128307337334297245e+01 -1.120727148372526472e+01 -1.115102031597947985e+01 -1.110772508125532454e+01 -1.106857260182079017e+01 -1.103351785217574843e+01 -1.100192461755659679e+01 -1.097430445558654810e+01 -1.094999093974192306e+01 -1.092705283411669370e+01 -1.090592623043630738e+01 -1.088680938767041084e+01 -1.086943275270238018e+01 -1.085379291518140121e+01 -1.083946460124354871e+01 -1.082605673713305805e+01 -1.082605540416253120e+01 
         6  0.000000000000000000e+00 -1.239760293367376676e+01 -1.162895691829652378e+01 -1.133719387087072050e+01 -1.117021165010453387e+01 -1.105976275366410277e+01 -1.098333037511710586e+01 -1.092645052759112900e+01 -1.088254410809872752e+01 -1.084279671133708689e+01 -1.080719354777895092e+01 -1.077509680018485483e+01 -1.074721606400260043e+01 -1.072281431247952810e+01 -1.069983804083960877e+01 -1.067869095048064310e+01 -1.065956734410153217e+01 -1.064220346679377371e+01 -1.062659707122514874e+01 -1.061232023742169872e+01 -1.059898017411967430e+01 -1.059897884847049454e+01 
         7  0.000000000000000000e+00 -1.217844587720264826e+01 -1.140868751719790453e+01 -1.111617067221388311e+01 -1.094857135238785872e+01 -1.083752905793480181e+01 -1.076049688616419076e+01 -1.070301352379939885e+01 -1.065850897321388402e+01 -1.061816194554501180e+01 -1.058200097239372894e+01 -1.054942613144606867e+01 -1.052138642194250906e+01 -1.049691131440746972e+01 -1.047391075298995133e+01 -1.045275590760141426e+01 -1.043364219303933282e+01 -1.041630746105755634e+01 -1.040074929408194748e+01 -1.038653726213715345e+01 -1.037327696427698243e+01 -1.037327564707590000e+01 
         8  0.000000000000000000e+00 -1.196097946445360094e+01 -1.119019848086387015e+01 -1.089698428596869917e+01 -1.072881297865018269e+01 -1.061721492051296423e+01 -1.053961417009142565e+01 -1.048155298783777312e+01 -1.043646876712517724e+01 -1.039551839002814404e+01 -1.035879117858476661e+01 -1.032585586916016496e+01 -1.029767551306281348e+01 -1.027314338920999148e+01 -1.025012627829136136e+01 -1.022896814602134441e+01 -1.020988115656282957e+01 -1.019259226120109929e+01 -1.017709747047911151e+01 -1.016296393880861615e+01 -1.014979575656610677e+01 -1.014979444897784333e+01 
         9  0.000000000000000000e+00 -1.174604403437379574e+01 -1.097433088231491638e+01 -1.068047647326469018e+01 -1.051177893665857255e+01 -1.039966339317271604e+01 -1.032152594403066814e+01 -1.026291336008731037e+01 -1.021727124745382298e+01 -1.017571734501780156e+01 -1.013841661922000981e+01 -1.010524487031148055e+01 -1.007694380393618871e+01 -1.005237189050490088e+01 -1.002933665242599659e+01 -1.000818057089176705e+01 -9.989131927855055437e+00 -9.971904866995572547e+00 -9.956488970055971777e+00 -9.942448016765240482e+00 -9.929384689173303968e+00 -9.929383392402996833e+00 
        10  0.000000000000000000e+00 -1.153448013246290316e+01 -1.076192612497879963e+01 -1.046748946210828990e+01 -1.029831223551286712e+01 -1.018571825102947059e+01 -1.010707677005638061e+01 -1.004794007619844365e+01 -1.000176274043423064e+01 -9.959611668949065688e+00 -9.921819952227082240e+00 -9.888452617234207764e+00 -9.860052232360175140e+00 -9.835448760174131166e+00 -9.812396845768262210e+00 -9.791250488407655439e+00 -9.772245763705569743e+00 -9.755092653106544276e+00 -9.739770871306092204e+00 -9.725836953518836481e+00 -9.712891607972181873e+00 -9.712890323264531389e+00 
        11  0.000000000000000000e+00 -1.132712817987336962e+01 -1.055382563219848180e+01 -1.025886560313367113e+01 -1.008925612334530797e+01 -9.976223664675387681e+00 -9.897111742434219650e+00 -9.837479215601547367e+00 -9.790790348591514203e+00 -9.748055474467690829e+00 -9.709876138390796996e+00 -9.676338600627019559e+00 -9.647858789743622765e+00 -9.623226245914594301e+00 -9.600162619398531660e+00 -9.579034584426153742e+00 -9.560080388016359620e+00 -9.543005877241284907e+00 -9.527789981745740988e+00 -9.513977529555205592e+00 -9.501163685719802743e+00 -9.501162414358731212e+00 
        12  0.000000000000000000e+00 -1.112482888181122576e+01 -1.035087119592714089e+01 -1.005544774437603905e+01 -9.885454467066324469e+00 -9.772024509183296459e+00 -9.692476786933525545e+00 -9.632377806338809023e+00 -9.585202212732525595e+00 -9.541903969618147130e+00 -9.503443447248287157e+00 -9.469762683252355373e+00 -9.441215426411986300e+00 -9.416557101558339582e+00 -9.393489614840632385e+00 -9.372389299640474292e+00 -9.353493170553861091e+00 -9.336502965634053908e+00 -9.321396884111607051e+00 -9.307716452498652870e+00 -9.295047721330007562e+00 -9.295046464639341366e+00 
        13  0.000000000000000000e+00 -1.092842321384949855e+01 -1.015390496606596571e+01 -9.858079162185106270e+00 -9.687751645769736797e+00 -9.573966295570414786e+00 -9.494018549496558990e+00 -9.433483694748474591e+00 -9.385847386457271568e+00 -9.342050014089437582e+00 -9.303380383214943095e+00 -9.269582476542126415e+00 -9.240974436921078450e+00 -9.216294608732511051e+00 -9.193233044868492243e+00 -9.172170812737391543e+00 -9.153341122857995060e+00 -9.136441856089504654e+00 -9.121450581702845284e+00 -9.107905554576205986e+00 -9.095390345444258173e+00 -9.095389104665997593e+00 
        14  0.000000000000000000e+00 -1.073875358168700700e+01 -9.963770572255015168e+00 -9.667604693868156573e+00 -9.496993677824349334e+00 -9.382896231463746517e+00 -9.302585472102691710e+00 -9.241646588799483197e+00 -9.193576892030421277e+00 -9.149379212035569253e+00 -9.110546751330417692e+00 -9.076650870354740164e+00 -9.047989668915022321e+00 -9.023293650157313550e+00 -9.000248896943162435e+00 -8.979236057880996213e+00 -8.960482057825032598e+00 -8.943681216781612875e+00 -8.928810662463178005e+00 -8.915405470337645966e+00 -8.903046757826473367e+00 -8.903045533179863469e+00 
        15  0.000000000000000000e+00 -1.055639721685525956e+01 -9.781046508028396147e+00 -9.484604090476324245e+00 -9.313761542709073638e+00 -9.199396520150855849e+00 -9.118761048301223582e+00 -9.057451287396247608e+00 -9.008976894275662062e+00 -8.964477394703123991e+00 -8.925534578374822559e+00 -8.891555582904913990e+00 -8.862849908735881854e+00 -8.838143886008083427e+00 -8.815127391958299086e+00 -8.794175988581400816e+00 -8.775507898613028601e+00 -8.758813794264824537e+00 -8.744070725720206383e+00 -8.730810704975141334e+00 -8.718612467441431590e+00 -8.718611259253947310e+00 
        16  0.000000000000000000e+00 -1.038080212804499070e+01 -9.605182084780693685e+00 -9.308527919239594439e+00 -9.137507047619720879e+00 -9.022920243830611753e+00 -8.941999652313853630e+00 -8.880353460632676388e+00 -8.831504499578784362e+00 -8.786800524279300362e+00 -8.747794970446790330e+00 -8.713755169764510811e+00 -8.685014582242416736e+00 -8.660305773877581714e+00 -8.637328703807639840e+00 -8.616451662474105433e+00 -8.597880459677924136e+00 -8.581302374415002987e+00 -8.566694348016625327e+00 -8.553585665906837221e+00 -8.541552774196844666e+00 -8.541551582885745120e+00 
        17  0.000000000000000000e+00 -1.021109309861535053e+01 -9.435303358662054052e+00 -9.138503505656274228e+00 -8.967358763644341479e+00 -8.852597218154301117e+00 -8.771432413479573142e+00 -8.709485563987470869e+00 -8.660293559514599337e+00 -8.615480737560602620e+00 -8.576454252692457203e+00 -8.542384595370094758e+00 -8.513619783206621605e+00 -8.488916462139314945e+00 -8.465989003208932218e+00 -8.445200103458148533e+00 -8.426737554654721407e+00 -8.410285532767233008e+00 -8.395821063976711685e+00 -8.382870677948346838e+00 -8.371008794893555205e+00 -8.371007620962274132e+00 
        18  0.000000000000000000e+00 -1.004639628870427259e+01 -9.270537599517496119e+00 -8.973659212426383647e+00 -8.802446137731095632e+00 -8.687558014100375203e+00 -8.606191037437014302e+00 -8.543980503498772805e+00 -8.494478231698508353e+00 -8.449649818362644282e+00 -8.410638635628771453e+00 -8.376570337633467034e+00 -8.347801554223593712e+00 -8.323112744545028363e+00 -8.300243593293913591e+00 -8.279557127329269406e+00 -8.261215743536325817e+00 -8.244900435391429028e+00 -8.230588679270113062e+00 -8.217804356559128109e+00 -8.206119834382178624e+00 -8.206118678390822652e+00 
        19  0.000000000000000000e+00 -9.885837498545697599e+00 -9.110011519714788619e+00 -8.813122682629114024e+00 -8.641897733828557193e+00 -8.526932136210433555e+00 -8.445406022645499888e+00 -8.382969803341666193e+00 -8.333220908463204069e+00 -8.288434615984613174e+00 -8.249472494695766045e+00 -8.215436926163590670e+00 -8.186693279161971759e+00 -8.162029449527949510e+00 -8.139226129519471442e+00 -8.118655813060968285e+00 -8.100448516958948630e+00 -8.084281205608704113e+00 -8.070131771904101470e+00 -8.057521775957667387e+00 -8.046021609870905422e+00 -8.046020472451289152e+00 
        20  0.000000000000000000e+00 -9.728542272170244587e+00 -8.952851374155812891e+00 -8.656020916259819842e+00 -8.484841286372642344e+00 -8.369848061210547030e+00 -8.288206663428269394e+00 -8.225583590648568588e+00 -8.175651927840874578e+00 -8.130957962984638243e+00 -8.092078569333637006e+00 -8.058107040377052499e+00 -8.029417605660711388e+00 -8.004799499823462838e+00 -7.982070062985229697e+00 -7.961626553123153371e+00 -7.943566598362565401e+00 -7.927558872685864344e+00 -7.913581873181499304e+00 -7.901154800057213379e+00 -7.889846331062670970e+00 -7.889845212889014192e+00 
        21  0.000000000000000000e+00 -9.573636159479349317e+00 -8.798183235585639750e+00 -8.501480504625533285e+00 -8.330403909490030401e+00 -8.215433474510376755e+00 -8.133721242992550060e+00 -8.070950838849654474e+00 -8.020897136253040571e+00 -7.976341452140502497e+00 -7.937578207050989931e+00 -7.903701717337753507e+00 -7.875095488567325219e+00 -7.850550176976497596e+00 -7.827907176738705175e+00 -7.807597358878950899e+00 -7.789698292730747653e+00 -7.773861895363154417e+00 -7.760067630321259458e+00 -7.747832443159950344e+00 -7.736723258802044256e+00 -7.736722160560731254e+00 
        22  0.000000000000000000e+00 -9.420244226236405893e+00 -8.645132446439077967e+00 -8.348627109876673558e+00 -8.177711583118934868e+00 -8.062814687223180954e+00 -7.981076482884333245e+00 -7.918198698355610077e+00 -7.868080380218685832e+00 -7.823704948976995865e+00 -7.785090877307112578e+00 -7.751340064062389956e+00 -7.722845696892136402e+00 -7.698399951513948736e+00 -7.675866859742171755e+00 -7.655697357360992328e+00 -7.637968910850247539e+00 -7.622315772714046034e+00 -7.608714560921981729e+00 -7.596680284125596927e+00 -7.585778184859435669e+00 -7.585777107265556651e+00 
        23  0.000000000000000000e+00 -9.267491249912268358e+00 -8.492823827069798881e+00 -8.196585624198689857e+00 -8.025889284109013033e+00 -7.911116814743024861e+00 -7.829397657572201297e+00 -7.766452717421145735e+00 -7.716323693301177400e+00 -7.672166809117243247e+00 -7.633734393632181536e+00 -7.600139384019456656e+00 -7.571784950376127199e+00 -7.547465196567571866e+00 -7.525066419492929981e+00 -7.505054122137551076e+00 -7.487501436284958345e+00 -7.472043139605830220e+00 -7.458645377402461918e+00 -7.446820944567804190e+00 -7.436133649244339949e+00 -7.436132593013184078e+00 
        24  0.000000000000000000e+00 -9.114501697707282801e+00 -8.340381633949874640e+00 -8.044480157037128265e+00 -7.874060986090086089e+00 -7.759463728400675109e+00 -7.677808599060739425e+00 -7.614836727819835005e+00 -7.564747329011709098e+00 -7.520843841833141141e+00 -7.482624946455132431e+00 -7.449215212203938563e+00 -7.421028159830967752e+00 -7.396860183010119272e+00 -7.374619599314002016e+00 -7.354786324729815306e+00 -7.337421380609981725e+00 -7.322164032144485191e+00 -7.308979892416203938e+00 -7.297374191204880844e+00 -7.286909261543200955e+00 -7.286908227361067247e+00 
