     Count               Iteration-1          Iteration-143001 
         0  0.000000000000000000e+00  3.149470453029721284e-01 
         1  0.000000000000000000e+00  2.970049485414278934e-01 
         2  0.000000000000000000e+00  2.795817928555379694e-01 
         3  0.000000000000000000e+00  2.625092166530293980e-01 
         4  0.000000000000000000e+00  2.459482880579457742e-01 
         5  0.000000000000000000e+00  2.297324159781055641e-01 
         6  0.000000000000000000e+00  2.140208777969974108e-01 
         7  0.000000000000000000e+00  1.986458454466060175e-01 
         8  0.000000000000000000e+00  1.837692348441919421e-01 
         9  0.000000000000000000e+00  1.692206476544697580e-01 
        10  0.000000000000000000e+00  1.551611938962196291e-01 
        11  0.000000000000000000e+00  1.414214131327184987e-01 
        12  0.000000000000000000e+00  1.281625953473053414e-01 
        13  0.000000000000000000e+00  1.152151004164352344e-01 
        14  0.000000000000000000e+00  1.027403959562320779e-01 
        15  0.000000000000000000e+00  9.056812628870147819e-02 
        16  0.000000000000000000e+00  7.885922993551730542e-02 
        17  0.000000000000000000e+00  6.744349827221185478e-02 
        18  0.000000000000000000e+00  5.648180471439445682e-02 
        19  0.000000000000000000e+00  4.580263234964832009e-02 
        20  0.000000000000000000e+00  3.556776312672127460e-02 
        21  0.000000000000000000e+00  2.560554459944341943e-02 
        22  0.000000000000000000e+00  1.607601487665988316e-02 
        23  0.000000000000000000e+00  6.809226099562692980e-03 
        24  0.000000000000000000e+00 -2.035032562616834184e-03 
        25  0.000000000000000000e+00 -1.062681336162540902e-02 
        26  0.000000000000000000e+00 -1.880581715363405237e-02 
        27  0.000000000000000000e+00 -2.674307182735446986e-02 
        28  0.000000000000000000e+00 -3.427901026481094959e-02 
        29  0.000000000000000000e+00 -4.158230849100164050e-02 
        30  0.000000000000000000e+00 -4.849217315262421835e-02 
        31  0.000000000000000000e+00 -5.517943029821026357e-02 
        32  0.000000000000000000e+00 -6.148111472566597513e-02 
        33  0.000000000000000000e+00 -6.756602902135000477e-02 
        34  0.000000000000000000e+00 -7.326993164605255515e-02 
        35  0.000000000000000000e+00 -7.876282653654698152e-02 
        36  0.000000000000000000e+00 -8.387965260862983996e-02 
        37  0.000000000000000000e+00 -8.878937474469239532e-02 
        38  0.000000000000000000e+00 -9.332740989685817112e-02 
        39  0.000000000000000000e+00 -9.766413231011483731e-02 
        40  0.000000000000000000e+00 -1.016361641801495352e-01 
        41  0.000000000000000000e+00 -1.054145563683164255e-01 
        42  0.000000000000000000e+00 -1.088352476243130695e-01 
        43  0.000000000000000000e+00 -1.120718257936914597e-01 
        44  0.000000000000000000e+00 -1.149610326752963374e-01 
        45  0.000000000000000000e+00 -1.176776464215549822e-01 
