Read the target shape in
 ./files/input/20190331ResidueMirrorAndCyl_MA-0.05mmMT-0.002Offset450nm.txt
Read the unit sputter yield in
 ./files/input/20190331SputerYieldon20190331.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2285
  # 1/2 Unit :    1142
  # All      :    8970
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       0
  # Thread   :       2
Computation time for initialization:    0.0042

Have memorized arrays 1 times
loop:     44800, alpha:   10.5000, rms:    1.7764
loop:     45200, alpha:   10.5000, rms:    1.7727
loop:     45600, alpha:   10.5000, rms:    1.7692
loop:     46000, alpha:   10.5000, rms:    1.7657
loop:     46400, alpha:   10.5000, rms:    1.7623
loop:     46800, alpha:   10.5000, rms:    1.7589
loop:     47200, alpha:   10.5000, rms:    1.7555
loop:     47600, alpha:   10.5000, rms:    1.7522
loop:     48000, alpha:   10.5000, rms:    1.7489
loop:     48400, alpha:   10.5000, rms:    1.7457
loop:     48800, alpha:   10.5000, rms:    1.7425
loop:     49200, alpha:   10.5000, rms:    1.7393
loop:     49600, alpha:   10.5000, rms:    1.7362
Have memorized arrays 6 times
loop:     50000, alpha:   10.5000, rms:    1.7332
loop:     50400, alpha:   10.5000, rms:    1.7301
loop:     50800, alpha:   10.5000, rms:    1.7271
loop:     51200, alpha:   10.5000, rms:    1.7242
loop:     51600, alpha:   10.5000, rms:    1.7212
loop:     52000, alpha:   10.5000, rms:    1.7183
loop:     52400, alpha:   10.5000, rms:    1.7155
loop:     52800, alpha:   10.5000, rms:    1.7127
loop:     53200, alpha:   10.5000, rms:    1.7099
loop:     53600, alpha:   10.5000, rms:    1.7071
loop:     54000, alpha:   10.5000, rms:    1.7044
loop:     54400, alpha:   10.5000, rms:    1.7017
loop:     54800, alpha:   10.5000, rms:    1.6991
loop:     55200, alpha:   10.5000, rms:    1.6964
loop:     55600, alpha:   10.5000, rms:    1.6938
loop:     56000, alpha:   10.5000, rms:    1.6913
loop:     56400, alpha:   10.5000, rms:    1.6887
loop:     56800, alpha:   10.5000, rms:    1.6862
loop:     57200, alpha:   10.5000, rms:    1.6837
loop:     57600, alpha:   10.5000, rms:    1.6813
loop:     58000, alpha:   10.5000, rms:    1.6789
loop:     58400, alpha:   10.5000, rms:    1.6765
loop:     58800, alpha:   10.5000, rms:    1.6741
loop:     59200, alpha:   10.5000, rms:    1.6717
loop:     59600, alpha:   10.5000, rms:    1.6694
Have memorized arrays 7 times
loop:     60000, alpha:   10.5000, rms:    1.6671
loop:     60400, alpha:   10.5000, rms:    1.6649
loop:     60800, alpha:   10.5000, rms:    1.6626
loop:     61200, alpha:   10.5000, rms:    1.6604
loop:     61600, alpha:   10.5000, rms:    1.6582
loop:     62000, alpha:   10.5000, rms:    1.6560
loop:     62400, alpha:   10.5000, rms:    1.6539
loop:     62800, alpha:   10.5000, rms:    1.6518
loop:     63200, alpha:   10.5000, rms:    1.6497
loop:     63600, alpha:   10.5000, rms:    1.6476
loop:     64000, alpha:   10.5000, rms:    1.6455
loop:     64400, alpha:   10.5000, rms:    1.6435
loop:     64800, alpha:   10.5000, rms:    1.6415
loop:     65200, alpha:   10.5000, rms:    1.6395
loop:     65600, alpha:   10.5000, rms:    1.6375
