     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500001 
         0  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03  2.337314861102999727e-03 
         1  4.153154796821999922e-03  4.153154796821999922e-03  4.153186945098070668e-03  4.153154796821999922e-03  4.153154796821999922e-03  4.153154796821999922e-03  4.153154796821999922e-03  4.153154796821999922e-03 
         2  5.398853187478500071e-03  5.398853187478500071e-03  5.398937432176486792e-03  5.398853187478500071e-03  5.398853187478500071e-03  5.398853187478500071e-03  5.398853187478500071e-03  5.398853187478500071e-03 
         3  6.067221148727999780e-03  6.067221148727999780e-03  6.067364535347813392e-03  6.067221148727999780e-03  6.067221148727999780e-03  6.067221148727999780e-03  6.067221148727999780e-03  6.067221148727999780e-03 
         4  6.279070051192499335e-03  6.279070051192499335e-03  6.279267480287941197e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03 
         5  6.279070051192499335e-03  6.279070051192499335e-03  6.279308731781125218e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03 
         6  6.340893575020500189e-03  6.340893575020500189e-03  6.341160502805666226e-03  6.340893575020500189e-03  6.340893575020500189e-03  6.340893575020500189e-03  6.340893575020500189e-03  6.340893575020500189e-03 
         7  6.664590285679498904e-03  6.664590285679498904e-03  6.664879480518717120e-03  6.664590285679498904e-03  6.664590285679498904e-03  6.664590285679498904e-03  6.664590285679498904e-03  6.664590285679498904e-03 
         8  7.340253771478498848e-03  7.340253771478498848e-03  7.340570138283092697e-03  7.340253771478498848e-03  7.340253771478498848e-03  7.340253771478498848e-03  7.340253771478498848e-03  7.340253771478498848e-03 
         9  8.381680604601000201e-03  8.381680604601000201e-03  8.382039670068754805e-03  8.381680604601000201e-03  8.381680604601000201e-03  8.381680604601000201e-03  8.381680604601000201e-03  8.381680604601000201e-03 
        10  9.780488415030000326e-03  9.780488415030000326e-03  9.780913552136758643e-03  9.780488415030000326e-03  9.780488415030000326e-03  9.780488415030000326e-03  9.780488415030000326e-03  9.780488415030000326e-03 
        11  1.153163178585450005e-02  1.153163178585450005e-02  1.153215118312835713e-02  1.153163178585450005e-02  1.153163178585450005e-02  1.153163178585450005e-02  1.153163178585450005e-02  1.153163178585450005e-02 
        12  1.361850534059850029e-02  1.361850534059850029e-02  1.361914993760515377e-02  1.361850534059850029e-02  1.361850534059850029e-02  1.361850534059850029e-02  1.361850534059850029e-02  1.361850534059850029e-02 
        13  1.599576103624349849e-02  1.599576103624349849e-02  1.599656316738989198e-02  1.599576103624349849e-02  1.599576103624349849e-02  1.599576103624349849e-02  1.599576103624349849e-02  1.599576103624349849e-02 
        14  1.861465016340749928e-02  1.861465016340749928e-02  1.861564234476646013e-02  1.861465016340749928e-02  1.861465016340749928e-02  1.861465016340749928e-02  1.861465016340749928e-02  1.861465016340749928e-02 
