Count	Initial values	Iteration-1	Iteration-2	Iteration-100000	Iteration-200000	Iteration-300000	Iteration-400000	Iteration-500000	Iteration-500001
146	0.00E+00	-9.63E+01	6.54E+01	-9.78E-02	-1.43E-01	-1.40E-01	-1.22E-01	-1.01E-01	-1.01E-01
147	0.00E+00	-9.62E+01	6.55E+01	-1.71E-01	-2.00E-01	-1.84E-01	-1.55E-01	-1.25E-01	-1.25E-01
148	0.00E+00	-9.62E+01	6.56E+01	-2.27E-01	-2.39E-01	-2.13E-01	-1.75E-01	-1.41E-01	-1.41E-01
149	0.00E+00	-9.61E+01	6.57E+01	-2.66E-01	-2.63E-01	-2.28E-01	-1.85E-01	-1.49E-01	-1.49E-01
150	0.00E+00	-9.61E+01	6.57E+01	-2.91E-01	-2.71E-01	-2.32E-01	-1.89E-01	-1.55E-01	-1.55E-01
151	0.00E+00	-9.60E+01	6.58E+01	-3.01E-01	-2.66E-01	-2.25E-01	-1.85E-01	-1.57E-01	-1.57E-01
152	0.00E+00	-9.60E+01	6.58E+01	-2.96E-01	-2.46E-01	-2.07E-01	-1.75E-01	-1.56E-01	-1.56E-01
153	0.00E+00	-9.60E+01	6.58E+01	-2.75E-01	-2.10E-01	-1.77E-01	-1.55E-01	-1.47E-01	-1.47E-01
154	0.00E+00	-9.60E+01	6.58E+01	-2.30E-01	-1.49E-01	-1.29E-01	-1.23E-01	-1.26E-01	-1.26E-01
155	0.00E+00	-9.61E+01	6.58E+01	-1.63E-01	-5.95E-02	-4.45E-02	-5.15E-02	-6.65E-02	-6.65E-02
156	0.00E+00	-9.61E+01	6.58E+01	-8.39E-02	4.33E-02	5.79E-02	4.56E-02	2.66E-02	2.66E-02
157	0.00E+00	-9.61E+01	6.57E+01	-5.43E-03	1.43E-01	1.60E-01	1.47E-01	1.30E-01	1.30E-01
158	0.00E+00	-9.62E+01	6.57E+01	6.36E-02	2.26E-01	2.45E-01	2.34E-01	2.21E-01	2.21E-01
159	0.00E+00	-9.62E+01	6.57E+01	1.17E-01	2.81E-01	3.00E-01	2.89E-01	2.80E-01	2.80E-01
160	0.00E+00	-9.63E+01	6.56E+01	1.48E-01	2.99E-01	3.12E-01	2.98E-01	2.89E-01	2.89E-01
161	0.00E+00	-9.63E+01	6.56E+01	1.51E-01	2.71E-01	2.71E-01	2.56E-01	2.55E-01	2.55E-01
162	0.00E+00	-9.64E+01	6.56E+01	1.18E-01	1.91E-01	1.87E-01	1.75E-01	1.81E-01	1.81E-01
163	0.00E+00	-9.64E+01	6.55E+01	4.32E-02	6.74E-02	5.86E-02	4.95E-02	6.10E-02	6.10E-02
164	0.00E+00	-9.65E+01	6.54E+01	-7.19E-02	-9.52E-02	-1.09E-01	-1.17E-01	-1.02E-01	-1.02E-01
165	0.00E+00	-9.66E+01	6.53E+01	-2.13E-01	-2.81E-01	-2.99E-01	-3.06E-01	-2.90E-01	-2.90E-01
166	0.00E+00	-9.68E+01	6.52E+01	-3.60E-01	-4.68E-01	-4.89E-01	-4.95E-01	-4.80E-01	-4.80E-01
167	0.00E+00	-9.69E+01	6.51E+01	-4.92E-01	-6.35E-01	-6.56E-01	-6.61E-01	-6.47E-01	-6.47E-01
168	0.00E+00	-9.70E+01	6.50E+01	-5.91E-01	-7.45E-01	-7.83E-01	-7.87E-01	-7.73E-01	-7.73E-01
169	0.00E+00	-9.71E+01	6.50E+01	-6.48E-01	-7.90E-01	-8.30E-01	-8.43E-01	-8.44E-01	-8.44E-01
170	0.00E+00	-9.71E+01	6.49E+01	-6.60E-01	-7.71E-01	-8.00E-01	-8.09E-01	-8.16E-01	-8.16E-01
171	0.00E+00	-9.72E+01	6.48E+01	-6.35E-01	-7.02E-01	-7.10E-01	-7.07E-01	-7.10E-01	-7.10E-01
172	0.00E+00	-9.73E+01	6.48E+01	-5.85E-01	-6.02E-01	-5.85E-01	-5.65E-01	-5.58E-01	-5.58E-01
173	0.00E+00	-9.73E+01	6.47E+01	-5.20E-01	-4.92E-01	-4.51E-01	-4.12E-01	-3.95E-01	-3.95E-01
174	0.00E+00	-9.74E+01	6.47E+01	-4.49E-01	-3.86E-01	-3.27E-01	-2.73E-01	-2.48E-01	-2.48E-01
175	0.00E+00	-9.75E+01	6.46E+01	-3.72E-01	-2.91E-01	-2.24E-01	-1.64E-01	-1.35E-01	-1.35E-01
176	0.00E+00	-9.75E+01	6.46E+01	-2.89E-01	-2.09E-01	-1.46E-01	-8.79E-02	-6.43E-02	-6.43E-02
177	0.00E+00	-9.76E+01	6.45E+01	-1.97E-01	-1.35E-01	-8.86E-02	-4.52E-02	-3.59E-02	-3.59E-02
178	0.00E+00	-9.76E+01	6.45E+01	-9.50E-02	-6.66E-02	-4.87E-02	-3.10E-02	-4.02E-02	-4.02E-02
179	0.00E+00	-9.76E+01	6.45E+01	1.49E-02	-2.44E-04	-3.26E-04	1.17E-02	-3.44E-03	-3.44E-03
180	0.00E+00	-9.75E+01	6.46E+01	1.30E-01	9.41E-02	8.96E-02	9.74E-02	7.78E-02	7.78E-02
181	0.00E+00	-9.75E+01	6.46E+01	2.54E-01	2.21E-01	2.15E-01	2.20E-01	1.99E-01	1.99E-01
182	0.00E+00	-9.74E+01	6.47E+01	3.89E-01	3.65E-01	3.61E-01	3.66E-01	3.45E-01	3.45E-01
183	0.00E+00	-9.74E+01	6.48E+01	5.19E-01	5.07E-01	5.07E-01	5.14E-01	4.94E-01	4.94E-01
184	0.00E+00	-9.73E+01	6.48E+01	6.31E-01	6.29E-01	6.33E-01	6.40E-01	6.23E-01	6.23E-01
185	0.00E+00	-9.73E+01	6.49E+01	7.14E-01	7.17E-01	7.22E-01	7.29E-01	7.12E-01	7.12E-01
186	0.00E+00	-9.72E+01	6.50E+01	7.63E-01	7.63E-01	7.64E-01	7.67E-01	7.49E-01	7.49E-01
187	0.00E+00	-9.72E+01	6.50E+01	7.71E-01	7.59E-01	7.51E-01	7.45E-01	7.24E-01	7.24E-01
188	0.00E+00	-9.72E+01	6.50E+01	7.35E-01	7.06E-01	6.83E-01	6.65E-01	6.38E-01	6.38E-01
189	0.00E+00	-9.72E+01	6.50E+01	6.60E-01	6.08E-01	5.68E-01	5.35E-01	5.03E-01	5.03E-01
190	0.00E+00	-9.72E+01	6.50E+01	5.57E-01	4.84E-01	4.27E-01	3.81E-01	3.45E-01	3.45E-01
191	0.00E+00	-9.72E+01	6.50E+01	4.41E-01	3.54E-01	2.86E-01	2.31E-01	1.94E-01	1.94E-01
192	0.00E+00	-9.72E+01	6.50E+01	3.29E-01	2.39E-01	1.67E-01	1.09E-01	7.61E-02	7.61E-02
193	0.00E+00	-9.71E+01	6.51E+01	2.31E-01	1.50E-01	8.43E-02	3.13E-02	6.15E-03	6.15E-03
194	0.00E+00	-9.71E+01	6.51E+01	1.52E-01	9.41E-02	4.35E-02	1.42E-03	-1.14E-02	-1.14E-02
195	0.00E+00	-9.71E+01	6.52E+01	9.06E-02	6.70E-02	3.87E-02	1.25E-02	1.47E-02	1.47E-02
196	0.00E+00	-9.70E+01	6.53E+01	3.80E-02	5.63E-02	5.40E-02	4.63E-02	6.41E-02	6.41E-02
197	0.00E+00	-9.70E+01	6.53E+01	-1.75E-02	4.45E-02	6.88E-02	7.91E-02	1.11E-01	1.11E-01
