     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03  1.408822482864705364e-03 
         2  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03  4.366240261874329044e-03 
         3  9.000883743335939130e-03  9.000883743335939130e-03  9.000858733066973913e-03  9.022420046724622181e-03  9.062649912293980689e-03  9.106600258331112863e-03  9.153312008052647344e-03  9.202238081608093284e-03  9.202238081608093284e-03 
         4  1.540668373921438676e-02  1.540668373921438676e-02  1.540655753974772349e-02  1.542993851560876123e-02  1.554448038028693677e-02  1.567733401731183016e-02  1.582364792974115877e-02  1.598072537649964514e-02  1.598072537649964514e-02 
         5  2.362461454549544954e-02  2.362461454549544954e-02  2.362423312840476394e-02  2.346315912776541016e-02  2.356886242150331781e-02  2.372867040689013649e-02  2.392781488646094495e-02  2.415833142250199336e-02  2.415833142250199336e-02 
         6  3.361640524179797251e-02  3.361640524179797251e-02  3.361551109557116973e-02  3.276482123201931995e-02  3.251995627970808572e-02  3.239934004119203459e-02  3.236799766544065649e-02  3.240764766698153720e-02  3.240764766698153720e-02 
         7  4.524161447716937290e-02  4.524161447716937290e-02  4.523982416600489526e-02  4.273376628346464701e-02  4.140296279266888341e-02  4.061256495918902365e-02  4.034436645697674767e-02  4.018667756171185462e-02  4.018667756171185462e-02 
         8  5.827723726810780935e-02  5.827723726810780935e-02  5.827402506146431294e-02  5.258809121252951135e-02  4.948443878500515675e-02  4.801484406250475928e-02  4.750256290328487563e-02  4.713943936734943385e-02  4.713943936734943385e-02 
         9  7.248732304570054685e-02  7.248732304570054685e-02  7.248201400480318302e-02  6.150460091357149578e-02  5.642606706608827710e-02  5.427534249955138362e-02  5.351457980278091081e-02  5.293942617620586710e-02  5.293942617620586710e-02 
        10  8.770066131069122195e-02  8.770066131069122195e-02  8.769243612883667605e-02  6.903685165658553224e-02  6.201250920104752623e-02  5.919701198535602671e-02  5.819029196553307526e-02  5.740168258918855460e-02  5.740168258918855460e-02 
        11  1.038593396578029043e-01  1.038593396578029043e-01  1.038472506700741094e-01  7.510964081721087371e-02  6.623296465628443486e-02  6.280023457630742878e-02  6.156546810744371878e-02  6.057541257662833051e-02  6.057541257662833051e-02 
