     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-110000          Iteration-120000          Iteration-130000          Iteration-140000          Iteration-150000          Iteration-160000          Iteration-170000          Iteration-180000          Iteration-190000          Iteration-200000          Iteration-200001 
         0  0.000000000000000000e+00 -5.868439789648761007e+00 -3.815842891401899806e+00 -3.151968186555677676e+00 -2.819923907400237795e+00 -2.619751247647513992e+00 -2.476738383421178469e+00 -2.372865167519023544e+00 -2.290373150088669263e+00 -2.231165173737309715e+00 -2.212056833086080587e+00 -2.200125394626695652e+00 -2.193041449823539324e+00 -2.197994638474568774e+00 -2.213291283616229066e+00 -2.226728898960800507e+00 -2.237752819621391609e+00 -2.246386240245215049e+00 -2.252993160489495494e+00 -2.258291316805383531e+00 -2.262344694562784753e+00 -2.262345046290789696e+00 
         1  0.000000000000000000e+00 -5.722440876442703939e+00 -3.698567480106078165e+00 -3.046073065017992576e+00 -2.720990253665263481e+00 -2.525832486607271221e+00 -2.386727318166862233e+00 -2.285849736178391822e+00 -2.205698196208089712e+00 -2.148254569454365992e+00 -2.130164139760864828e+00 -2.118880780932244079e+00 -2.112187254865489194e+00 -2.117273255275904376e+00 -2.132394772572808961e+00 -2.145536288257403612e+00 -2.156217179100593739e+00 -2.164492765198048119e+00 -2.170754432881864204e+00 -2.175709710063529201e+00 -2.179477389848813118e+00 -2.179477718314558388e+00 
         2  0.000000000000000000e+00 -5.573130071572705901e+00 -3.578068497623121402e+00 -2.936996472357179755e+00 -2.618894506053521809e+00 -2.428756225148731573e+00 -2.293554881703272486e+00 -2.195666460806990017e+00 -2.117852469552730099e+00 -2.062159647808272211e+00 -2.045076782871007026e+00 -2.034433840601053589e+00 -2.028124123978699345e+00 -2.033336522745543107e+00 -2.048277755718316939e+00 -2.061119814355578228e+00 -2.071455786711339897e+00 -2.079372831229449048e+00 -2.085289629751883922e+00 -2.089903289922148133e+00 -2.093386120881831403e+00 -2.093386426103990061e+00 
         3  0.000000000000000000e+00 -5.421349107957041724e+00 -3.455183747658566062e+00 -2.825573824830257763e+00 -2.514470273921915577e+00 -2.329354716621253374e+00 -2.198052152264864390e+00 -2.103145226387653111e+00 -2.027665078355909145e+00 -1.973719127502960191e+00 -1.957633874372135097e+00 -1.947623298251386359e+00 -1.941689690651514866e+00 -1.947022410640727230e+00 -1.961778471340039687e+00 -1.974318044510340542e+00 -1.984307562475322584e+00 -1.991865728048367146e+00 -1.997438302863685067e+00 -2.001711927395007251e+00 -2.004911093330662197e+00 -2.004911375359341719e+00 
         4  0.000000000000000000e+00 -5.267939932685067106e+00 -3.330751151890723349e+00 -2.712640733737202936e+00 -2.408551362453721367e+00 -2.228460413076021496e+00 -2.101050282860967400e+00 -2.009116318814079705e+00 -1.935965608138900507e+00 -1.883767444003211722e+00 -1.868675847935548973e+00 -1.859288016135138832e+00 -1.853723154726196753e+00 -1.859170530730494875e+00 -1.873737060753313699e+00 -1.885971495552212218e+00 -1.895613419374114983e+00 -1.902812782946085690e+00 -1.908042282961815772e+00 -1.911977903270440038e+00 -1.914894969996282725e+00 -1.914895228917600889e+00 
         5  0.000000000000000000e+00 -5.113743830514096089e+00 -3.205607895671903407e+00 -2.599032098515920097e+00 -2.301970921503539103e+00 -2.126905133253586655e+00 -2.003379968408722789e+00 -1.914409622214265028e+00 -1.843583261261244388e+00 -1.793133191244947966e+00 -1.779041935427187582e+00 -1.770267440704486717e+00 -1.765064476110183023e+00 -1.770621332426969730e+00 -1.784994511029367459e+00 -1.796921769670234426e+00 -1.806215468605699925e+00 -1.813056615756295287e+00 -1.817944727338073108e+00 -1.821544920062649453e+00 -1.824182010255015030e+00 -1.824182246209886671e+00 
         6  0.000000000000000000e+00 -4.959602330643093637e+00 -3.080591419342084691e+00 -2.485583066128640439e+00 -2.195562363148980012e+00 -2.025520986675161339e+00 -1.905872361568015094e+00 -1.819855521243027852e+00 -1.751347795927358675e+00 -1.702645586776270648e+00 -1.689559425304366869e+00 -1.681402505128374969e+00 -1.676555217038981027e+00 -1.682217026965531659e+00 -1.696393619716417334e+00 -1.708012311627783220e+00 -1.716957889515299485e+00 -1.723442085541421420e+00 -1.727991057288079446e+00 -1.731259007252248239e+00 -1.733618849648678406e+00 -1.733619062834861779e+00 
         7  0.000000000000000000e+00 -4.806356525977207639e+00 -2.956538731562119438e+00 -2.373128346717095383e+00 -2.090158688840773493e+00 -1.925139697582835652e+00 -1.809358388703941500e+00 -1.726284224536669853e+00 -1.660088853758111327e+00 -1.613132280791035100e+00 -1.601055131202883786e+00 -1.593522853544925511e+00 -1.589037811663104094e+00 -1.594800749978702470e+00 -1.608778316149113152e+00 -1.620087792416029515e+00 -1.628686081354999260e+00 -1.634815367763593486e+00 -1.639028263439399780e+00 -1.641967830302064613e+00 -1.644053799247359393e+00 -1.644053989932615423e+00 
         8  0.000000000000000000e+00 -4.654846564714688384e+00 -2.834285682950820728e+00 -2.262501713802066661e+00 -1.986591989759716625e+00 -1.826592100782363559e+00 -1.714668225224670550e+00 -1.634525277798559273e+00 -1.570635463525064779e+00 -1.525420256988866186e+00 -1.514355447936054588e+00 -1.507454362191595010e+00 -1.503341664817980927e+00 -1.509217173989469529e+00 -1.522994124807496519e+00 -1.533994615211895507e+00 -1.542247294388232604e+00 -1.548024505840771781e+00 -1.551905193202770761e+00 -1.554521136953951554e+00 -1.556337479869398521e+00 -1.556337648400500484e+00 
         9  0.000000000000000000e+00 -4.505912005643466500e+00 -2.714667399074613741e+00 -2.154536371714726783e+00 -1.885693789819384847e+00 -1.730708492221225470e+00 -1.622631258927498266e+00 -1.545407886158301380e+00 -1.483815478431324664e+00 -1.440336304000140899e+00 -1.430286650347142086e+00 -1.424022819060979828e+00 -1.420292094253341020e+00 -1.426292708326514003e+00 -1.439884513404052768e+00 -1.450580266503749272e+00 -1.458489949073026537e+00 -1.463918859194649258e+00 -1.467472112222992564e+00 -1.469770077307799738e+00 -1.471321947715068745e+00 -1.471322094529199376e+00 
        10  0.000000000000000000e+00 -4.360392422997136919e+00 -2.598519015089095774e+00 -2.050065540302000500e+00 -1.788295649487167793e+00 -1.638319223670237079e+00 -1.534076954484049793e+00 -1.459761506979418755e+00 -1.400456614548005518e+00 -1.358707655738101039e+00 -1.349675436085050251e+00 -1.344054499233919842e+00 -1.340715033223091268e+00 -1.346852854197976512e+00 -1.360274714278432384e+00 -1.370684289407790857e+00 -1.378263812450654768e+00 -1.383349217358812666e+00 -1.386580837362004104e+00 -1.388567460972552681e+00 -1.389860309425216656e+00 -1.389860434881768469e+00 
        11  0.000000000000000000e+00 -4.219127117181329822e+00 -2.486675387532869763e+00 -1.949922171332019616e+00 -1.695228887857439304e+00 -1.550254415886001880e+00 -1.449834538481866275e+00 -1.378415525386770923e+00 -1.321386622817698253e+00 -1.281361635489162154e+00 -1.273348632725600282e+00 -1.268375832976289530e+00 -1.265436590379636073e+00 -1.271723409908020130e+00 -1.284990175918295563e+00 -1.295131898468298459e+00 -1.302402263673229754e+00 -1.307167241254347800e+00 -1.310084216781518762e+00 -1.311765805127691920e+00 -1.312805009938415424e+00 -1.312805114490885217e+00 
        12  0.000000000000000000e+00 -4.082955513406290038e+00 -2.379971490767985642e+00 -1.854939340051430463e+00 -1.607324952361523174e+00 -1.467344308293860422e+00 -1.370733385025005191e+00 -1.302199092457300367e+00 -1.247433673337269511e+00 -1.209125991881705886e+00 -1.202133570061192813e+00 -1.197813785345772430e+00 -1.195283387865941904e+00 -1.201730754071007823e+00 -1.214857019498651880e+00 -1.224748953613442382e+00 -1.231730914998593107e+00 -1.236198066803950724e+00 -1.238823196692948159e+00 -1.240217943729049921e+00 -1.241009843061505080e+00 -1.241009927254566492e+00 
        13  0.000000000000000000e+00 -3.952717174900783448e+00 -2.279242424709110537e+00 -1.765950116679022130e+00 -1.525415423391194736e+00 -1.390419274600873223e+00 -1.297603011668456929e+00 -1.231941246498280407e+00 -1.179426359674266678e+00 -1.142828875904427832e+00 -1.136858009163915995e+00 -1.133195809969436141e+00 -1.131082556258832028e+00 -1.137701730215610496e+00 -1.150701969119467094e+00 -1.160361934825431263e+00 -1.167075304164598037e+00 -1.171265442772664755e+00 -1.173621202182147272e+00 -1.174752773718807930e+00 -1.175320664251017888e+00 -1.175320730345475795e+00 
        14  0.000000000000000000e+00 -3.829253011242741422e+00 -2.185324627172434475e+00 -1.683788912479030841e+00 -1.450333207604444397e+00 -1.320311016132762916e+00 -1.231274267510514164e+00 -1.168472349242051678e+00 -1.118194820312169213e+00 -1.083300048500746016e+00 -1.078351384053974016e+00 -1.075350964514939278e+00 -1.073662904796634621e+00 -1.080464912048540782e+00 -1.093353360954267828e+00 -1.102798066416568190e+00 -1.109261345888114647e+00 -1.113194929567868030e+00 -1.115303343194824492e+00 -1.116195003490389581e+00 -1.116561786681501189e+00 -1.116561836891804660e+00 
        15  0.000000000000000000e+00 -3.713138678241421076e+00 -2.098789276596676245e+00 -1.609024756526991951e+00 -1.382645934741560723e+00 -1.257585949100018752e+00 -1.172312700025628374e+00 -1.112356576197981894e+00 -1.064304130316003238e+00 -1.031104246471528540e+00 -1.027178050056079428e+00 -1.024843315935555665e+00 -1.023588239010166490e+00 -1.030583907468525240e+00 -1.043373446494939571e+00 -1.052618582544511128e+00 -1.058849998920948110e+00 -1.062547147187899554e+00 -1.064429856311079448e+00 -1.065104438051918123e+00 -1.065292524213532488e+00 -1.065292560704193647e+00 
        16  0.000000000000000000e+00 -3.603820597174632212e+00 -2.019078287768536484e+00 -1.541096866656261000e+00 -1.321791973795853892e+00 -1.201681212602863980e+00 -1.120154572766978163e+00 -1.063028923696720085e+00 -1.017190312981881561e+00 -9.856771480365580373e-01 -9.827733361211983265e-01 -9.811079443292385349e-01 -9.802933775777091796e-01 -9.874920805126237155e-01 -1.000194792016088741e+00 -1.009255748738326020e+00 -1.015273182320015621e+00 -1.018753683064318238e+00 -1.020432001364525831e+00 -1.020911912789017606e+00 -1.020943266560891516e+00 -1.020943291454443624e+00 
        17  0.000000000000000000e+00 -3.500421964158277888e+00 -1.945310321451330537e+00 -1.479121214226040593e+00 -1.266886437789224829e+00 -1.151710678620702311e+00 -1.073912872515734307e+00 -1.019601201959943637e+00 -9.759655756467111587e-01 -9.461313814499021646e-01 -9.442495541685218541e-01 -9.432569008284872325e-01 -9.428890901501745248e-01 -9.502992825152318801e-01 -9.629269032335230349e-01 -9.718187979438255297e-01 -9.776398366218757019e-01 -9.809231070089197146e-01 -9.824179441297928861e-01 -9.827252537071728966e-01 -9.826214600068112759e-01 -9.826214753758790721e-01 
