Read the target shape in
 ./files/input/20180107ErrorBetweenMirrorandCylinder1stSputter2.txt
Read the unit sputter yield in
 ./files/input/20190106AverageAllProfile.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5750
  # Unit     :    1935
  # 1/2 Unit :     967
  # All      :    9620
The number of threads
  # Total    :       4
  # Thread   :       2
  # Thread   :       1
  # Thread   :       3
  # Thread   :       0
Computation time for initialization:    0.0042

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:     43600, alpha:   13.5375, rms:    2.2755
loop:     44000, alpha:   13.5375, rms:    2.2750
loop:     44400, alpha:   13.5375, rms:    2.2744
loop:     44800, alpha:   13.5375, rms:    2.2739
loop:     45200, alpha:   13.5375, rms:    2.2733
loop:     45600, alpha:   13.5375, rms:    2.2728
loop:     46000, alpha:   13.5375, rms:    2.2723
loop:     46400, alpha:   13.5375, rms:    2.2718
loop:     46800, alpha:   13.5375, rms:    2.2713
loop:     47200, alpha:   13.5375, rms:    2.2709
loop:     47600, alpha:   13.5375, rms:    2.2704
loop:     48000, alpha:   13.5375, rms:    2.2700
loop:     48400, alpha:   13.5375, rms:    2.2695
loop:     48800, alpha:   13.5375, rms:    2.2691
loop:     49200, alpha:   13.5375, rms:    2.2687
loop:     49600, alpha:   13.5375, rms:    2.2682
Have memorized arrays 6 times
loop:     50000, alpha:   13.5375, rms:    2.2678
loop:     50400, alpha:   13.5375, rms:    2.2674
loop:     50800, alpha:   13.5375, rms:    2.2670
loop:     51200, alpha:   13.5375, rms:    2.2667
loop:     51600, alpha:   13.5375, rms:    2.2663
loop:     52000, alpha:   13.5375, rms:    2.2659
loop:     52400, alpha:   13.5375, rms:    2.2656
loop:     52800, alpha:   13.5375, rms:    2.2652
loop:     53200, alpha:   13.5375, rms:    2.2649
loop:     53600, alpha:   13.5375, rms:    2.2645
loop:     54000, alpha:   13.5375, rms:    2.2642
loop:     54400, alpha:   13.5375, rms:    2.2639
loop:     54800, alpha:   13.5375, rms:    2.2636
loop:     55200, alpha:   13.5375, rms:    2.2633
loop:     55600, alpha:   13.5375, rms:    2.2629
loop:     56000, alpha:   13.5375, rms:    2.2626
loop:     56400, alpha:   13.5375, rms:    2.2623
loop:     56800, alpha:   13.5375, rms:    2.2620
loop:     57200, alpha:   13.5375, rms:    2.2617
loop:     57600, alpha:   13.5375, rms:    2.2615
loop:     58000, alpha:   13.5375, rms:    2.2612
loop:     58400, alpha:   13.5375, rms:    2.2609
loop:     58800, alpha:   13.5375, rms:    2.2606
loop:     59200, alpha:   13.5375, rms:    2.2604
loop:     59600, alpha:   13.5375, rms:    2.2601
Have memorized arrays 7 times
loop:     60000, alpha:   13.5375, rms:    2.2598
loop:     60400, alpha:   13.5375, rms:    2.2596
loop:     60800, alpha:   13.5375, rms:    2.2593
loop:     61200, alpha:   13.5375, rms:    2.2591
loop:     61600, alpha:   13.5375, rms:    2.2588
