Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
83	0.00E+00	0.00E+00	0.00E+00	1.31E+02	4.74E-04
84	0.00E+00	0.00E+00	0.00E+00	1.54E+02	4.74E-04
85	0.00E+00	0.00E+00	1.50E+03	1.80E+02	4.75E-04
86	0.00E+00	0.00E+00	1.64E+03	2.09E+02	4.76E-04
87	0.00E+00	0.00E+00	1.78E+03	2.40E+02	4.77E-04
88	0.00E+00	0.00E+00	1.89E+03	2.72E+02	4.78E-04
89	0.00E+00	0.00E+00	1.96E+03	3.06E+02	4.80E-04
90	0.00E+00	0.00E+00	1.96E+03	3.41E+02	4.80E-04
91	0.00E+00	0.00E+00	1.91E+03	3.76E+02	4.80E-04
92	0.00E+00	0.00E+00	1.83E+03	4.11E+02	4.79E-04
93	0.00E+00	0.00E+00	1.75E+03	4.47E+02	4.78E-04
94	0.00E+00	0.00E+00	1.69E+03	4.82E+02	4.78E-04
95	0.00E+00	0.00E+00	1.68E+03	5.17E+02	4.77E-04
96	0.00E+00	0.00E+00	1.73E+03	5.52E+02	4.77E-04
97	0.00E+00	0.00E+00	1.82E+03	5.86E+02	4.78E-04
98	0.00E+00	0.00E+00	1.92E+03	6.20E+02	4.78E-04
99	0.00E+00	0.00E+00	2.01E+03	6.53E+02	4.79E-04
100	0.00E+00	0.00E+00	2.07E+03	6.86E+02	4.79E-04
101	0.00E+00	0.00E+00	2.10E+03	7.19E+02	4.79E-04
102	0.00E+00	0.00E+00	2.09E+03	7.51E+02	4.79E-04
103	0.00E+00	0.00E+00	2.06E+03	7.82E+02	4.78E-04
104	0.00E+00	0.00E+00	2.01E+03	8.13E+02	4.77E-04
105	0.00E+00	0.00E+00	1.97E+03	8.44E+02	4.75E-04
106	0.00E+00	0.00E+00	1.94E+03	8.74E+02	4.74E-04
107	0.00E+00	0.00E+00	1.93E+03	9.03E+02	4.73E-04
108	0.00E+00	0.00E+00	1.94E+03	9.32E+02	4.72E-04
109	0.00E+00	0.00E+00	1.97E+03	9.61E+02	4.72E-04
110	0.00E+00	0.00E+00	1.99E+03	9.89E+02	4.72E-04
111	0.00E+00	0.00E+00	2.02E+03	1.02E+03	4.72E-04
112	0.00E+00	0.00E+00	2.03E+03	1.04E+03	4.72E-04
113	0.00E+00	0.00E+00	2.05E+03	1.07E+03	4.70E-04
114	0.00E+00	0.00E+00	2.10E+03	1.10E+03	4.67E-04
115	0.00E+00	0.00E+00	2.17E+03	1.12E+03	4.64E-04
116	0.00E+00	0.00E+00	2.28E+03	1.15E+03	4.59E-04
117	0.00E+00	0.00E+00	2.44E+03	1.18E+03	4.53E-04
118	0.00E+00	0.00E+00	2.64E+03	1.20E+03	4.46E-04
119	0.00E+00	0.00E+00	2.98E+03	1.23E+03	4.37E-04
120	0.00E+00	0.00E+00	3.58E+03	1.25E+03	4.23E-04
121	0.00E+00	0.00E+00	4.68E+03	1.28E+03	4.03E-04
122	0.00E+00	0.00E+00	6.64E+03	1.30E+03	3.74E-04
123	0.00E+00	0.00E+00	9.86E+03	1.32E+03	3.34E-04
124	0.00E+00	0.00E+00	1.47E+04	1.35E+03	2.83E-04
125	0.00E+00	0.00E+00	2.14E+04	1.37E+03	2.23E-04
126	0.00E+00	0.00E+00	2.97E+04	1.39E+03	1.59E-04
127	0.00E+00	0.00E+00	3.90E+04	1.41E+03	9.98E-05
128	0.00E+00	0.00E+00	4.86E+04	1.43E+03	5.19E-05
129	0.00E+00	0.00E+00	5.74E+04	1.45E+03	2.01E-05
130	0.00E+00	0.00E+00	6.48E+04	1.47E+03	4.01E-06
131	0.00E+00	0.00E+00	7.05E+04	1.49E+03	-1.64E-07
132	0.00E+00	0.00E+00	7.43E+04	1.51E+03	2.13E-06
133	0.00E+00	0.00E+00	7.67E+04	1.53E+03	6.24E-06
134	0.00E+00	0.00E+00	7.80E+04	1.55E+03	9.41E-06
135	0.00E+00	0.00E+00	7.85E+04	1.57E+03	1.08E-05
136	0.00E+00	0.00E+00	7.85E+04	1.59E+03	1.06E-05
137	0.00E+00	0.00E+00	7.80E+04	1.61E+03	9.65E-06
138	0.00E+00	0.00E+00	7.73E+04	1.62E+03	8.63E-06
139	0.00E+00	0.00E+00	7.64E+04	1.64E+03	7.89E-06
140	0.00E+00	0.00E+00	7.53E+04	1.66E+03	7.50E-06
141	0.00E+00	0.00E+00	7.42E+04	1.68E+03	7.37E-06
142	0.00E+00	0.00E+00	7.30E+04	1.69E+03	7.44E-06
143	0.00E+00	0.00E+00	7.18E+04	1.71E+03	7.66E-06
144	0.00E+00	0.00E+00	7.07E+04	1.73E+03	8.00E-06
145	0.00E+00	0.00E+00	6.96E+04	1.74E+03	8.36E-06
146	0.00E+00	0.00E+00	6.85E+04	1.76E+03	8.59E-06
147	0.00E+00	0.00E+00	6.74E+04	1.78E+03	8.60E-06
