     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  1.000000000000000000e+01  0.000000000000000000e+00  8.573749999999998650e+00  8.145062499999998096e+00  0.000000000000000000e+00  6.983372960937497709e+00  6.634204312890622290e+00  6.302494097246090554e+00 
         2  0.000000000000000000e+00  6.000000000000000000e+01  0.000000000000000000e+00  5.144249999999999545e+01  4.887037499999998857e+01  0.000000000000000000e+00  4.190023776562498625e+01  3.980522587734373019e+01  3.781496458347654510e+01 
         3  0.000000000000000000e+00  2.500000000000000000e+02  0.000000000000000000e+00  2.143437499999999716e+02  2.036265624999999488e+02  0.000000000000000000e+00  1.745843240234374321e+02  1.658551078222655519e+02  1.575623524311522488e+02 
         4  0.000000000000000000e+00  6.800000000000000000e+02  0.000000000000000000e+00  5.830149999999998727e+02  5.538642499999998563e+02  0.000000000000000000e+00  4.748693613437498584e+02  4.511258932765622376e+02  4.285695986127341257e+02 
         5  0.000000000000000000e+00  1.460000000000000000e+03  0.000000000000000000e+00  1.251767499999999700e+03  1.189179124999999658e+03  0.000000000000000000e+00  1.019572452296874644e+03  9.685938296820307869e+02  9.201641381979293328e+02 
         6  0.000000000000000000e+00  2.480000000000000000e+03  0.000000000000000000e+00  2.126289999999999509e+03  2.019975499999999556e+03  0.000000000000000000e+00  1.731876494312499744e+03  1.645282669596874257e+03  1.563018536117030635e+03 
         7  0.000000000000000000e+00  3.640000000000000000e+03  0.000000000000000000e+00  3.120844999999999800e+03  2.964802749999999378e+03  0.000000000000000000e+00  2.541947757781249493e+03  2.414850369892186336e+03  2.294107851397577178e+03 
         8  0.000000000000000000e+00  4.840000000000000000e+03  0.000000000000000000e+00  4.149694999999999709e+03  3.942210249999999178e+03  0.000000000000000000e+00  3.379952513093748621e+03  3.210954887439061167e+03  3.050407143067107882e+03 
         9  0.000000000000000000e+00  6.050000000000000000e+03  0.000000000000000000e+00  5.187118749999999636e+03  4.927762812499999200e+03  0.000000000000000000e+00  4.224940641367186799e+03  4.013693609298826232e+03  3.813008928833884966e+03 
        10  0.000000000000000000e+00  7.260000000000000000e+03  0.000000000000000000e+00  6.224542499999999563e+03  5.913315374999998312e+03  0.000000000000000000e+00  5.069928769640623614e+03  4.816432331158592206e+03  4.575610714600661595e+03 
        11  0.000000000000000000e+00  8.560000000000000000e+03  0.000000000000000000e+00  7.339129999999999200e+03  6.972173499999998967e+03  0.000000000000000000e+00  5.977767254562499147e+03  5.678878891834372553e+03  5.394934947242652925e+03 
        12  0.000000000000000000e+00  1.022000000000000000e+04  0.000000000000000000e+00  8.762372499999999491e+03  8.324253874999998516e+03  0.000000000000000000e+00  7.137007166078123191e+03  6.780156807774215849e+03  6.441148967385503965e+03 
        13  0.000000000000000000e+00  1.314000000000000000e+04  0.000000000000000000e+00  1.126590749999999935e+04  1.070261212499999783e+04  0.000000000000000000e+00  9.176152070671871115e+03  8.717344467138278560e+03  8.281477243781362631e+03 
        14  0.000000000000000000e+00  1.822000000000000000e+04  0.000000000000000000e+00  1.562137249999999949e+04  1.484030387499999779e+04  0.000000000000000000e+00  1.272370553482811920e+04  1.208752025808671351e+04  1.148314424518237684e+04 
