                    Count                    Target                     Error                Dwell Time           Expected Figure             Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements 
                        0 -1.727233711018888925e-77 -1.727233711018888925e-77  1.064231403192793550e+03  5.321157015963967751e+03  5.000000000000000000e+00  5.270746945899881212e+03  1.000000000000000000e+01  1.000000000000000000e+00  1.200000000000000000e+01 
                        1  1.000000000000000000e+04  4.678842955643357527e+03  1.064231408871328540e+03  5.321157044356642473e+03                       nan 
                        2  1.000000000000000000e+04  4.678843495687186078e+03  1.064231300862562875e+03  5.321156504312813922e+03 6.951136312796686119e-310 
                        3  1.000000000000000000e+04  4.678834673987279530e+03  1.064233065202544140e+03  5.321165326012720470e+03  0.000000000000000000e+00 
                        4  1.000000000000000000e+04  4.678957143187413749e+03  1.064208571362517205e+03  5.321042856812586251e+03  0.000000000000000000e+00 
                        5  1.000000000000000000e+04  4.677532348265538531e+03  1.064493530346892385e+03  5.322467651734461469e+03 6.951136312787990564e-310 
                        6  1.000000000000000000e+04  4.691159020628819235e+03  1.061768195874236199e+03  5.308840979371180765e+03  0.000000000000000000e+00 
                        7  1.000000000000000000e+04  4.586891559691320253e+03  1.082621688061735995e+03  5.413108440308679747e+03  0.000000000000000000e+00 
                        8  1.000000000000000000e+04  5.199856403441330258e+03  9.600287193117339939e+02  4.800143596558669742e+03  0.000000000000000000e+00 
                        9  1.000000000000000000e+04  2.607981403440975555e+03  1.478403719311804934e+03  7.392018596559024445e+03  0.000000000000000000e+00 
                       10  1.000000000000000000e+04  9.564231403451214646e+03  8.715371930975707926e+01  4.357685965487854105e+02  0.000000000000000000e+00 
                       11  0.000000000000000000e+00 3.952525166729972353e-323  8.715371936144126153e+01  4.357685968072063361e+02 6.951136312786409554e-310 
