     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         2  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         3  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         4  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         5  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         6  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         7  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         8  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
         9  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
        10  0.000000000000000000e+00  4.375000000000000000e+03  8.220214843750000000e+03  9.436864852905273438e+03  9.821820519864559174e+03  9.943622898863395676e+03  9.982161932843497198e+03  9.994355924063762359e+03  9.998214179098300519e+03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
