     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03  1.444619404989330551e-03 
         2  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03  4.473937297743833807e-03 
         3  9.216611510917578631e-03  9.216611510917578631e-03  9.216585759584259435e-03  9.238112706838101651e-03  9.278337872804975212e-03  9.322282706542825426e-03  9.368993284407187844e-03  9.417912226958726624e-03  9.417912226958726624e-03 
         4  1.576574449263177732e-02  1.576574449263177732e-02  1.576561457516263004e-02  1.578883258195155903e-02  1.590335518726524247e-02  1.603618658627168833e-02  1.618249908394731387e-02  1.633954613393918259e-02  1.633954613393918259e-02 
         5  2.416023624590207808e-02  2.416023624590207808e-02  2.415984364825268446e-02  2.399830648806833625e-02  2.410396455979497282e-02  2.426372172795995819e-02  2.446287533977705222e-02  2.469331668945355662e-02  2.469331668945355662e-02 
         6  3.435793629002709820e-02  3.435793629002709820e-02  3.435701604467576026e-02  3.350530481409117606e-02  3.326036344571781794e-02  3.313966563746650190e-02  3.310837577568161161e-02  3.314788828059975212e-02  3.314788828059975212e-02 
         7  4.621229470265859895e-02  4.621229470265859895e-02  4.621045231293215150e-02  4.370247066619555726e-02  4.237157222364396070e-02  4.154561059496141018e-02  4.127750832277121695e-02  4.111962023977126096e-02  4.111962023977126096e-02 
         8  5.949266350378150381e-02  5.949266350378150381e-02  5.948935810032392191e-02  5.380017892712420091e-02  5.066106200689766276e-02  4.912011945994637641e-02  4.860797809494090543e-02  4.824459586577181658e-02  4.824459586577181658e-02 
         9  7.395581623273075889e-02  7.395581623273075889e-02  7.395035344089005702e-02  6.296790322133830053e-02  5.778295690019343706e-02  5.552507620009321937e-02  5.476449557807971935e-02  5.418902835534453177e-02  5.418902835534453177e-02 
        10  8.942556788529415490e-02  8.942556788529415490e-02  8.941710476305643474e-02  7.071897979653414545e-02  6.351695189144383746e-02  6.055931509906771482e-02  5.955281646022508868e-02  5.876384618093430379e-02  5.876384618093430379e-02 
        11  1.058423538488376114e-01  1.058423538488376114e-01  1.058299152921162722e-01  7.697630266733998528e-02  6.785146397238164817e-02  6.424367092812886815e-02  6.300915979863473682e-02  6.201870648349814413e-02  6.201870648349814413e-02 
        12  1.232658997217231100e-01  1.232658997217231100e-01  1.232484025558301111e-01  8.186903773483135416e-02  7.101045947271160397e-02  6.684822024718069244e-02  6.542671832348749550e-02  6.426843438551194110e-02  6.426843438551194110e-02 
        13  1.418355025198011488e-01  1.418355025198011488e-01  1.418117815245177327e-01  8.570372089860976705e-02  7.340949975988973752e-02  6.883400256621956259e-02  6.728583789554701267e-02  6.601260441344833363e-02  6.601260441344833363e-02 
        14  1.617245087480681798e-01  1.617245087480681798e-01  1.616933387466530092e-01  8.890558393560718531e-02  7.555888351361728095e-02  7.073004617054474974e-02  6.911852843549343151e-02  6.778794713551547502e-02  6.778794713551547502e-02 
        15  1.831104634232950945e-01  1.831104634232950945e-01  1.830705731799364966e-01  9.213644889437479224e-02  7.794509722550099773e-02  7.299920349350712268e-02  7.137207686692544073e-02  7.002916846423513919e-02  7.002916846423513919e-02 
        16  2.061467301752741565e-01  2.061467301752741565e-01  2.060968059178536205e-01  9.653441619466543444e-02  8.091824277781797803e-02  7.593386314227423828e-02  7.431205628636920746e-02  7.297817360040653734e-02  7.297817360040653734e-02 
