RMS,0.132356623,Time,2018/1/8 4:32,,
count,purpose,ResidualError,TimeDistribution,Working,spot
125,450.5032122,0,1,0.608361974,1.65E-05
126,450.5032122,0,1,0.616441416,1.66E-05
127,450.5032122,0,1,0.624554873,1.68E-05
128,450.5032122,0,1,0.632702948,1.69E-05
129,450.5032122,0,1,0.640886202,1.70E-05
130,450.5032122,0,1,0.649105216,1.71E-05
131,450.5032122,0,1,0.657360534,1.72E-05
132,450.5032122,0,1,0.665652717,1.73E-05
133,450.5032122,0,1,0.673982286,1.74E-05
134,450.5032122,0,1,0.682349783,1.75E-05
135,450.5032122,0,1,0.690755702,1.76E-05
136,450.5032122,0,1,0.699200564,1.77E-05
137,450.5032122,0,1,0.707684389,1.78E-05
138,450.5032122,0,1,0.716207225,1.79E-05
139,450.5032122,0,1,0.724769101,1.80E-05
140,450.5032122,0,1,0.733370069,1.81E-05
141,450.5032122,0,1,0.742010161,1.82E-05
142,450.5032122,0,1,0.750689452,1.83E-05
143,450.5032122,0,1,0.759408003,1.84E-05
144,450.5032122,0,1,0.768165918,1.85E-05
145,450.5032122,0,1,0.776963287,1.86E-05
146,450.5032122,0,1,0.785800241,1.87E-05
147,450.5032122,0,1,0.794676968,1.89E-05
148,450.5032122,0,1,0.803593626,1.90E-05
149,450.5032122,0,1,0.812553462,1.92E-05
150,450.5032122,0,1,0.821559683,1.94E-05
151,450.5032122,0,1,0.830615407,1.95E-05
152,450.5032122,0,1,0.839723718,1.97E-05
153,450.5032122,0,1,0.848887615,1.99E-05
154,450.5032122,0,1,0.858110031,2.00E-05
155,450.5032122,0,1,0.867393786,2.02E-05
156,450.5032122,0,1,0.876741641,2.04E-05
157,450.5032122,0,1,0.886156213,2.05E-05
158,450.5032122,0,1,0.895640097,2.06E-05
159,450.5032122,0,1,0.905194286,2.08E-05
160,450.5032122,0,1,0.914819765,2.09E-05
161,450.5032122,0,1,0.924517448,2.10E-05
162,450.5032122,0,1,0.934288236,2.12E-05
163,450.5032122,0,1,0.944132972,2.13E-05
164,450.5032122,0,1,0.954052485,2.14E-05
165,450.5032122,0,1,0.964047547,2.16E-05
166,450.5032122,0,1,0.974118959,2.17E-05
167,450.5032122,0,1,0.984267503,2.19E-05
168,450.5032122,0,1,0.994493984,2.20E-05
169,450.5032122,0,1,1.004799191,2.21E-05
170,450.5032122,0,1,1.015183931,2.23E-05
171,450.5032122,0,1,1.025649218,2.24E-05
172,450.5032122,0,1,1.036196087,2.25E-05
173,450.5032122,0,1,1.04682554,2.27E-05
174,450.5032122,0,1,1.057538601,2.28E-05
175,450.5032122,0,1,1.068336261,2.30E-05
176,450.5032122,0,1,1.079219522,2.31E-05
177,450.5032122,0,1,1.090189342,2.32E-05
178,450.5032122,0,1,1.101246654,2.34E-05
179,450.5032122,0,1,1.112392312,2.35E-05
180,450.5032122,0,1,1.123627143,2.37E-05
181,450.5032122,0,1,1.134951938,2.38E-05
182,450.5032122,0,1,1.146367425,2.40E-05
183,450.5032122,0,1,1.157876,2.42E-05
184,450.5032122,0,1,1.169479994,2.44E-05
185,450.5032122,0,1,1.181181625,2.46E-05
186,450.5032122,0,1,1.192983056,2.47E-05
187,450.5032122,0,1,1.20488634,2.49E-05
188,450.5032122,0,1,1.216893495,2.51E-05
189,450.5032122,0,1,1.229006453,2.53E-05
190,450.5032122,0,1,1.241227145,2.55E-05
191,450.5032122,0,1,1.253557446,2.56E-05
192,450.5032122,0,1,1.265999229,2.58E-05
193,450.5032122,0,1,1.278554235,2.59E-05
194,450.5032122,0,1,1.291224281,2.60E-05
195,450.5032122,0,1,1.304007711,2.61E-05
196,450.5032122,0,1,1.316902951,2.62E-05
197,450.5032122,0,1,1.329908457,2.63E-05
198,450.5032122,0,1,1.343022766,2.64E-05
199,450.5032122,0,1,1.35624444,2.65E-05
200,450.5032122,0,1,1.369572112,2.66E-05
201,450.5032122,0,1,1.383004432,2.67E-05
202,450.5032122,0,1,1.396540134,2.68E-05
203,450.5032122,0,1,1.410177984,2.69E-05
204,450.5032122,0,1,1.423916822,2.70E-05
205,450.5032122,0,1,1.437755603,2.72E-05
206,450.5032122,0,1,1.451693267,2.74E-05
207,450.5032122,0,1,1.465732595,2.76E-05
208,450.5032122,0,1,1.479876342,2.78E-05
209,450.5032122,0,1,1.494127193,2.80E-05
210,450.5032122,0,1,1.508487808,2.82E-05
211,450.5032122,0,1,1.522960777,2.83E-05
