RMS,0.09999921,Time,2018/1/8 13:11,,
count,purpose,ResidualError,TimeDistribution,Working,spot
1119,470.4819074,0.029765664,5328.198704,470.4521417,2.11E-05
1120,470.714034,0.0317533,5340.503115,470.6822807,2.13E-05
1121,470.9455595,0.033556642,5352.679251,470.9120029,2.15E-05
1122,471.1766551,0.035358415,5364.738443,471.1412967,2.17E-05
1123,471.4071497,0.03698487,5376.127184,471.3701648,2.20E-05
1124,471.6372153,0.038605483,5386.695616,471.5986098,2.22E-05
1125,471.8666799,0.040045883,5396.523745,471.826634,2.24E-05
1126,472.0957164,0.041476813,5405.662007,472.0542396,2.26E-05
1127,472.3241519,0.04272334,5414.181985,472.2814286,2.29E-05
1128,472.5521589,0.043956156,5422.126506,472.5082027,2.32E-05
1129,472.7795662,0.045002377,5429.560347,472.7345638,2.34E-05
1130,473.0065452,0.04603778,5436.664776,472.9605074,2.37E-05
1131,473.2329245,0.046900631,5443.924023,473.1860239,2.40E-05
1132,473.4588756,0.047771001,5451.332908,473.4111046,2.42E-05
1133,473.6842276,0.048484984,5458.911857,473.6357426,2.45E-05
1134,473.909153,0.049220739,5466.655769,473.8599323,2.48E-05
1135,474.1334781,0.049808919,5474.584941,474.0836692,2.50E-05
1136,474.3573771,0.05042699,5482.694332,474.3069501,2.53E-05
1137,474.5806771,0.05090424,5489.898402,474.5297729,2.55E-05
1138,474.8035505,0.051409045,5496.2631,474.7521415,2.58E-05
1139,475.0258246,0.051764988,5501.875105,474.9740596,2.60E-05
1140,475.2476743,0.052143322,5506.79093,475.195531,2.63E-05
1141,475.4689241,0.052364786,5511.088253,475.4165593,2.65E-05
1142,475.6897498,0.052601422,5514.815092,475.6371484,2.68E-05
1143,475.909976,0.052674002,5518.04089,475.857302,2.71E-05
1144,476.1297785,0.052754537,5520.809543,476.077024,2.73E-05
1145,476.3489817,0.052666081,5523.186505,476.2963156,2.76E-05
1146,476.5677618,0.052585806,5525.204418,476.515176,2.79E-05
1147,476.7859428,0.052338271,5526.91804,476.7336045,2.81E-05
1148,477.0037011,0.052100176,5528.353911,476.9516009,2.84E-05
1149,477.2208606,0.051695446,5529.561063,477.1691652,2.87E-05
1150,477.4375978,0.051300463,5530.560246,477.3862973,2.90E-05
1151,477.6537365,0.050738691,5531.395469,477.6029978,2.93E-05
1152,477.8694534,0.050186416,5532.457649,477.819267,2.96E-05
1153,478.0845727,0.049476752,5533.761715,478.0350959,2.99E-05
1154,478.2992693,0.048792736,5535.296631,478.2504766,3.02E-05
1155,478.5133695,0.047966888,5537.076141,478.4654026,3.05E-05
1156,478.7270478,0.047177965,5539.088356,478.6798698,3.08E-05
1157,478.9401284,0.046252517,5541.346295,478.8938759,3.11E-05
1158,479.1527886,0.045368512,5543.837488,479.1074201,3.14E-05
1159,479.3648516,0.044348151,5546.177226,479.3205034,3.17E-05
1160,479.5764943,0.043364531,5547.981164,479.5331298,3.20E-05
1161,479.7875396,0.042234625,5549.312771,479.745305,3.23E-05
1162,479.9981656,0.041131412,5550.206994,479.9570342,3.26E-05
1163,480.2081949,0.03987415,5550.721598,480.1683207,3.29E-05
1164,480.4178048,0.038638759,5550.886107,480.379166,3.32E-05
1165,480.6268178,0.037248095,5550.753064,480.5895697,3.36E-05
1166,480.8354123,0.035882642,5550.346612,480.7995297,3.39E-05
1167,481.0434108,0.034368518,5550.135464,481.0090423,3.43E-05
1168,481.2509906,0.032910535,5550.111516,481.2180801,3.47E-05
1169,481.4579745,0.031354227,5550.291512,481.4266203,3.51E-05
1170,481.6645412,0.029895604,5550.666187,481.6346456,3.55E-05
1171,481.8705116,0.028367752,5551.251643,481.8421438,3.59E-05
1172,482.0760644,0.026956896,5552.037639,482.0491075,3.63E-05
1173,482.2810218,0.025488329,5553.039732,482.2555335,3.67E-05
1174,482.4855622,0.024143891,5554.182593,482.4614183,3.71E-05
1175,482.6895074,0.022748378,5555.421158,482.666759,3.75E-05
1176,482.893036,0.021483397,5556.752805,482.8715526,3.79E-05
1177,483.0959697,0.020173797,5558.200523,483.0757959,3.83E-05
1178,483.2984873,0.019001775,5559.760489,483.2794855,3.87E-05
1179,483.50041,0.017792059,5561.4543,483.4826179,3.90E-05
1180,483.701918,0.016728594,5563.276748,483.6851894,3.94E-05
1181,483.9028309,0.015631326,5565.247851,483.8871996,3.97E-05
1182,484.1033286,0.014670082,5566.255978,484.0886585,4.01E-05
1183,484.3032321,0.013655647,5566.390699,484.2895765,4.04E-05
1184,484.502721,0.012756527,5565.710456,484.4899645,4.08E-05
1185,484.7016159,0.011781149,5564.294629,484.6898348,4.11E-05
1186,484.9000971,0.010896736,5562.192247,484.8892004,4.15E-05
1187,485.097984,0.009908664,5559.474305,485.0880753,4.19E-05
1188,485.2954573,0.008982828,5556.597713,485.2864745,4.23E-05
1189,485.4923369,0.00793671,5553.738114,485.4844002,4.28E-05
1190,485.6888042,0.006952575,5550.896548,485.6818516,4.32E-05
1191,485.8846781,0.005849235,5548.099846,485.8788289,4.36E-05
1192,486.0801387,0.004806179,5545.34829,486.0753325,4.40E-05
1193,486.2750064,0.003642622,5542.667948,486.2713638,4.44E-05
1194,486.4694618,0.002537527,5540.058168,486.4669243,4.48E-05
1195,486.6633249,0.001308737,5537.68437,486.6620162,4.53E-05
1196,486.8567758,0.000133854,5535.956119,486.8566419,4.57E-05
1197,487.0496344,-0.00116988,5534.862189,487.0508043,4.61E-05
1198,487.2420821,-0.002423555,5534.366811,487.2445057,4.65E-05
1199,487.433937,-0.00381171,5534.462714,487.4377487,4.69E-05
1200,487.625381,-0.005155203,5535.117658,487.6305362,4.73E-05
1201,487.8162335,-0.006637612,5536.327711,487.8228711,4.79E-05
1202,488.0066751,-0.008081424,5538.063946,488.0147565,4.84E-05
1203,488.1965255,-0.009670233,5539.317016,488.2061957,4.90E-05
1204,488.3859656,-0.011195942,5539.789959,488.3971615,4.96E-05
1205,488.574815,-0.012804455,5539.567288,488.5876195,5.02E-05
1206,488.7632542,-0.014285052,5538.702979,488.7775393,5.07E-05
1207,488.9511026,-0.015792998,5537.273561,488.9668956,5.13E-05
1208,489.1385416,-0.017126048,5535.325689,489.1556676,5.18E-05
1209,489.3253901,-0.018448734,5532.929298,489.3438388,5.22E-05
1210,489.5118296,-0.019566874,5530.017526,489.5313965,5.27E-05
1211,489.6976787,-0.020663104,5526.33959,489.7183418,5.31E-05
1212,489.8831203,-0.021588279,5521.958624,489.9047086,5.35E-05
1213,490.0679709,-0.022557561,5516.96068,490.0905285,5.39E-05
1214,490.2524146,-0.023415387,5511.401504,490.27583,5.43E-05
1215,490.4362669,-0.024371588,5505.359883,490.4606385,5.47E-05
1216,490.6197134,-0.025262818,5498.884876,490.6449762,5.53E-05
1217,490.8025699,-0.026292776,5492.048819,490.8288627,5.59E-05
1218,490.9850187,-0.027295994,5484.90067,491.0123147,5.64E-05
1219,491.1668788,-0.028436067,5477.508477,491.1953149,5.70E-05
1220,491.3483329,-0.029505053,5469.908641,491.377838,5.76E-05
1221,491.5291973,-0.030666579,5462.161776,491.5598639,5.82E-05
1222,491.7096557,-0.031721655,5454.299487,491.7413774,5.88E-05
1223,491.8895248,-0.032842828,5446.378138,491.9223676,5.94E-05
1224,492.0689903,-0.033837769,5438.425297,492.1028281,6.01E-05
1225,492.2478658,-0.034890127,5430.427409,492.2827559,6.08E-05
1226,492.4263368,-0.035806252,5422.214478,492.4621431,6.15E-05
1227,492.6042182,-0.036740541,5413.853596,492.6409587,6.22E-05
1228,492.7816967,-0.037478052,5405.382714,492.8191748,6.29E-05
1229,492.9585865,-0.038178597,5396.86444,492.9967651,6.36E-05
1230,493.1350729,-0.038632868,5388.331905,493.1737058,6.41E-05
1231,493.3109706,-0.039004077,5379.842742,493.3499747,6.47E-05
1232,493.4864654,-0.039086005,5371.425032,493.5255514,6.53E-05
1233,493.661372,-0.039077833,5361.202551,493.7004498,6.59E-05
1234,493.8358761,-0.038807281,5348.679867,493.8746834,6.65E-05
1235,494.0097929,-0.038473734,5334.061467,494.0482666,6.70E-05
1236,494.1833071,-0.037908586,5317.512969,494.2212157,6.76E-05
1237,494.3562337,-0.037314421,5299.214504,494.3935481,6.83E-05
1238,494.5287588,-0.036524011,5279.309054,494.5652828,6.90E-05
1239,494.7006963,-0.035743623,5259.487478,494.7364399,6.97E-05
1240,494.8722337,-0.03478948,5241.305949,494.9070232,7.04E-05
1241,495.0431833,-0.033836931,5224.714454,495.0770202,7.11E-05
1242,495.2137323,-0.032687577,5209.640904,495.2464199,7.18E-05
1243,495.3836942,-0.031517425,5196.044068,495.4152116,7.25E-05
1244,495.5532566,-0.030128781,5183.859568,495.5833854,7.32E-05
1245,495.7222323,-0.028699192,5173.053474,495.7509315,7.37E-05
1246,495.8908084,-0.027032173,5163.567796,495.9178406,7.43E-05
1247,496.0587985,-0.025305039,5153.886456,496.0841035,7.48E-05
1248,496.2263889,-0.023374131,5144.052598,496.249763,7.53E-05
1249,496.3933937,-0.021465212,5134.132105,496.4148589,7.58E-05
1250,496.5599995,-0.019429403,5124.160141,496.5794289,7.63E-05
1251,496.7260199,-0.017489158,5114.195323,496.7435091,7.68E-05
1252,496.8916412,-0.015492567,5104.265992,496.9071338,7.74E-05
1253,497.0566777,-0.013658252,5094.424372,497.070336,7.81E-05
1254,497.221317,-0.01183007,5084.567089,497.2331471,7.88E-05
1255,497.3853707,-0.01020659,5074.623156,497.3955773,7.94E-05
1256,497.5490268,-0.008589593,5064.626398,497.5576164,8.01E-05
1257,497.7120976,-0.007157123,5054.634429,497.7192547,8.08E-05
1258,497.8747722,-0.005711235,5044.675054,497.8804834,8.14E-05
1259,498.0368624,-0.004432153,5034.800584,498.0412946,8.21E-05
1260,498.1985561,-0.003124688,5025.033773,498.2016808,8.27E-05
1261,498.3596654,-0.001970163,5015.422171,498.3616356,8.33E-05
1262,498.5203787,-0.000774154,5005.313264,498.5211529,8.39E-05
1263,498.6805084,0.000266094,4994.793906,498.6802423,8.45E-05
1264,498.8402421,0.001329046,4983.918999,498.8389131,8.52E-05
1265,498.9993922,0.002218015,4972.766273,498.9971742,8.58E-05
1266,499.1581472,0.003112503,4961.381722,499.1550347,8.64E-05
1267,499.3163192,0.003815591,4949.834454,499.3125036,8.70E-05
1268,499.4740962,0.004506338,4938.16222,499.4695899,8.77E-05
1269,499.6312901,0.004987669,4926.534368,499.6263024,8.84E-05
1270,499.7880898,0.005449383,4915.082245,499.7826404,8.91E-05
1271,499.9443071,0.005713428,4903.846053,499.9385937,8.98E-05
1272,500.1001303,0.005977494,4892.836357,500.0941528,9.04E-05
1273,500.255371,0.006062041,4882.089159,500.249309,9.11E-05
1274,500.4102184,0.006164753,4871.611455,500.4040536,9.18E-05
1275,500.5644838,0.006104961,4861.436505,500.5583788,9.26E-05
1276,500.7183565,0.006079667,4851.569157,500.7122768,9.35E-05
1277,500.8716467,0.005906507,4841.936945,500.8657402,9.43E-05
1278,501.0245457,0.005823435,4832.550617,501.0187223,9.51E-05
1279,501.1768626,0.00568273,4823.447636,501.1711799,9.60E-05
1280,501.3287873,0.005714292,4814.637227,501.323073,9.68E-05
1281,501.4801302,0.005765483,4806.154983,501.4743647,9.75E-05
