RMS,2.12674789785123,Time,2017/06/30 4:43:38
count,purpose,ResidualError,TimeDistribution,Working,spot
0,130,0,1,5.88875E-06,5.88875E-06
1,130,0,1,1.185368E-05,5.96493E-06
2,130,0,1,1.78948E-05,6.04112E-06
3,130,0,1,2.40121E-05,6.1173E-06
4,130,0,1,3.020559E-05,6.19349E-06
5,130,0,1,3.646517E-05,6.25958E-06
6,130,0,1,4.279084E-05,6.32567E-06
7,130,0,1,4.91826E-05,6.39176E-06
8,130,0,1,5.564046E-05,6.45786E-06
9,130,0,1,6.216441E-05,6.52395E-06
10,130,0,1,6.875445E-05,6.59004E-06
11,130,0,1,7.541058E-05,6.65613E-06
12,130,0,1,8.21328E-05,6.72222E-06
13,130,0,1,8.892112E-05,6.78832E-06
14,130,0,1,9.577553E-05,6.85441E-06
15,130,0,1,0.00010269603,6.9205E-06
16,130,0,1,0.00010968262,6.98659E-06
17,130,0,1,0.00011676963,7.08701E-06
18,130,0,1,0.00012395707,7.18744E-06
19,130,0,1,0.00013124493,7.28786E-06
20,130,0,1,0.00013863321,7.38828E-06
21,130,0,1,0.00014612191,7.4887E-06
22,130,0,1,0.00015371103,7.58912E-06
23,130,0,1,0.00016140057,7.68954E-06
24,130,0,1,0.00016919053,7.78996E-06
25,130,0,1,0.00017708091,7.89038E-06
26,130,0,1,0.00018507171,7.9908E-06
27,130,0,1,0.00019316293,8.09122E-06
28,130,0,1,0.00020135457,8.19164E-06
29,130,0,1,0.00020956865,8.21408E-06
30,130,0,1,0.00021780516,8.23651E-06
31,130,0,1,0.00022606411,8.25895E-06
32,130,0,1,0.00023434549,8.28138E-06
33,130,0,1,0.00024264931,8.30382E-06
34,130,0,1,0.00025097556,8.32625E-06
35,130,0,1,0.00025932425,8.34869E-06
36,130,0,1,0.00026769537,8.37112E-06
37,130,0,1,0.00027608893,8.39356E-06
38,130,0,1,0.00028450492,8.41599E-06
39,130,0,1,0.00029294335,8.43843E-06
40,130,0,1,0.00030140421,8.46086E-06
41,130,0,1,0.00030994936,8.54515E-06
42,130,0,1,0.00031857879,8.62943E-06
43,130,0,1,0.00032729251,8.71372E-06
44,130,0,1,0.00033609052,8.79801E-06
45,130,0,1,0.00034497281,8.88229E-06
46,130,0,1,0.00035393939,8.96658E-06
47,130,0,1,0.00036299026,9.05087E-06
48,130,0,1,0.00037212541,9.13515E-06
49,130,0,1,0.00038134485,9.21944E-06
50,130,0,1,0.00039064858,9.30373E-06
51,130,0,1,0.00040003659,9.38801E-06
52,130,0,1,0.00040950889,9.4723E-06
53,130,0,1,0.00041908874,9.57985E-06
54,130,0,1,0.00042877614,9.6874E-06
55,130,0,1,0.00043857109,9.79495E-06
56,130,0,1,0.00044847359,9.9025E-06
57,130,0,1,0.00045848369,1.00101E-05
58,130,0,1,0.00046860129,1.01176E-05
59,130,0,1,0.00047882649,1.02252E-05
60,130,0,1,0.00048915919,1.03327E-05
61,130,0,1,0.00049959949,1.04403E-05
