RMS,23.2245880850573,Time,2017/06/26 15:36:26
count,purpose,ResidualError,TimeDistribution,Working,spot
34,59.9371681727668,40.7155058639893,6525.50832832104,19.2216623087775,1.02697E-05
35,59.8743365005648,38.900690198217,7239.09062052116,20.9736463023478,1.52535E-05
36,59.8115051384251,37.0912457595993,7925.18706390673,22.7202593788258,2.09286E-05
37,59.7486742413776,35.3073187134966,8586.68672350696,24.441355527881,2.81575E-05
38,59.6858439644516,33.5686498713545,9218.44753096508,26.1171940930971,3.8108E-05
39,59.6230144626742,31.8937383515982,9813.84995433066,27.729276111076,5.02194E-05
40,59.5601858910713,30.2992915036085,10363.5220656895,29.2608943874628,6.7787E-05
41,59.4973584046659,28.7997912386839,10859.509817262,30.697567165982,8.63529E-05
42,59.4345321584787,27.4070635506451,11287.1432071322,32.0274686078336,0.000105969
43,59.3717073075272,26.1304595113027,11636.2963854274,33.2412477962245,0.000124689
44,59.3088840068254,24.9763242363582,11901.4239320267,34.3325597704672,0.000140013
45,59.2460624113837,23.9481452775796,12079.6506739614,35.2979171338041,0.000152306
46,59.183242676208,23.0466145477812,12180.8139970422,36.1366281284268,0.000162461
47,59.1204249562998,22.2697014729979,12215.9059078682,36.8507234833019,0.000170423
48,59.0576094066556,21.6130881032331,12210.1950187945,37.4445213034225,0.00017599
49,58.9947961822665,21.0705550057092,12172.0395609046,37.9242411765573,0.000179284
50,58.9319854381179,20.6343332868321,12113.4451345894,38.2976521512858,0.000181111
51,58.8691773291891,20.2952700223995,12046.1953576531,38.5739073067896,0.000177943
52,58.8063720104528,20.0431317138506,11932.034197101,38.7632402966022,0.000175117
53,58.7435696368749,19.8669832064795,11831.0620248467,38.8765864303954,0.000170917
54,58.680770363414,19.7551936912514,11742.5192758573,38.9255766721626,0.000164995
55,58.6179743450211,19.6963447716171,11665.538099817,38.921629573404,0.000156728
56,58.5551817366391,19.6794176655381,11599.1706936696,38.875764071101,0.000146375
57,58.4923926932026,19.6941175724094,11542.4173856773,38.7982751207932,0.000132468
58,58.4296073696373,19.7311124641695,11494.2533340916,38.6984949054678,0.000115917
59,58.3668259208596,19.7822945514623,11453.653139869,38.5845313693973,9.76636E-05
