 ,target,realshape,error,dwelltime,unit
0,       1967.671615586256621100,       1964.620518626212970048,          3.051096960043651052,      36457.597690265640267171,          0.000000000000000000
1,       1920.974940547305322980,       1920.710688570112324669,          0.264251977192998311,      36204.696041323259123601,          0.000000000000000000
2,       1875.242140409289959280,       1876.691251494742573414,         -1.449111085452614134,      36316.504477269751077984,          0.000000000000000000
3,       1830.911296435545182248,       1832.993411267994815717,         -2.082114832449633468,      36605.899743829475482926,          0.000000000000000000
4,       1788.123634755974080690,       1789.986363658145137379,         -1.862728902171056689,      36859.796728985755180474,          0.000000000000000000
5,       1746.817890343795170338,       1747.950046651277261844,         -1.132156307482091506,      36867.478702009240805637,          0.000000000000000000
6,       1706.831556283493910087,       1707.061300278583303225,         -0.229743995089393138,      36454.470320448563143145,          0.000000000000000000
7,       1667.971571482640911199,       1667.395321165372706673,          0.576250317268204526,      35511.203110224967531394,          0.000000000000000000
8,       1630.059169808175056460,       1628.939338229191889695,          1.119831578983166764,      34008.835124569632171188,          0.000000000000000000
9,       1592.952414333561591775,       1591.613477541828615358,          1.338936791732976417,      32021.454030575252545532,          0.000000000000000000
10,       1556.549666703775073984,       1555.294361010433021875,          1.255305693342052109,      29752.615528504960821010,          0.000000000000000000
11,       1520.782523638968314117,       1519.833627490091885193,          0.948896148876428924,      27523.865580183497513644,          0.000000000000000000
12,       1485.607511238146571486,       1485.087027595276367720,          0.520483642870203767,      25701.405218745574529748,          0.000000000000000000
13,       1451.000899057926744717,       1450.932831569609788858,          0.068067488316955860,      24584.837990694381005596,          0.000000000000000000
14,       1416.954708413178423143,       1417.279980212236523585,         -0.325271799058100441,      24305.167393627485580510,          0.000000000000000000
15,       1383.470148076897658029,       1384.072835121416346738,         -0.602687044518688708,      24780.093482084415882127,          0.000000000000000000
16,       1350.549876056762059306,       1351.288117747042861083,         -0.738241690280801777,      25745.100559468613937497,          0.000000000000000000
17,       1318.193098461617410067,       1318.930493019375944641,         -0.737394557758534575,      26841.704498224084090907,          0.000000000000000000
18,       1286.394549091786984718,       1287.023625278038252873,         -0.629076186251268155,      27728.050516680843429640,          0.000000000000000000
19,       1255.146057603540839409,       1255.601234490863134852,         -0.455176887322295443,      28168.247762718059675535,          0.000000000000000000
20,       1224.439627309267734745,       1224.700021870809223401,         -0.260394561541488656,      28064.453240050392196281,          0.000000000000000000
21,       1194.270240354652742099,       1194.353070834252321220,         -0.082830479599579121,      27429.793744716615037760,          0.000000000000000000
22,       1164.635273627536435015,       1164.583591000482783784,          0.051682627053651231,      26341.881286857031227555,          0.000000000000000000
23,       1135.531161352411572807,       1135.399981085585295659,          0.131180266826277148,      24923.272882895133079728,          0.000000000000000000
24,       1106.952257132624481528,       1106.794445128738516360,          0.157812003885965169,      23349.779119441976945382,          0.000000000000000000
25,       1078.892644989992732008,       1078.746419796226746257,          0.146225193765985750,      21845.306729361855104798,          0.000000000000000000
26,       1051.346747125487809171,       1051.229464701640154090,          0.117282423847655082,      20635.412080204150697682,          0.000000000000000000
27,       1024.308484792156832555,       1024.218336043406452518,          0.090148748750380037,      19886.314774876791489078,          0.000000000000000000
28,        997.771767060082311218,        997.693340536641699146,          0.078426523440612073,      19672.596029192118294304,          0.000000000000000000
29,        971.730694343828417914,        971.641019918378674447,          0.089674425449743467,      19976.808058509283000603,          0.000000000000000000
30,        946.177115069319484064,        946.053316353859372612,          0.123798715460111453,      20709.098444002382166218,          0.000000000000000000
31,        921.099116780935105453,        920.924770091003324524,          0.174346689931780929,      21740.001691864730673842,          0.000000000000000000
32,        896.484334683603037774,        896.252405770334689805,          0.231928913268347969,      22915.852351661487773526,          0.000000000000000000
33,        872.324625261829396550,        872.042837032411057407,          0.281788229418339142,      24025.479313374569755979,          0.000000000000000000
34,        848.617491099457652126,        848.305991638045611580,          0.311499461412040546,      24744.138382122353505110,          0.000000000000000000
35,        825.364958855910913371,        825.051548123441875759,          0.313410732469037612,      24627.957261858959100209,          0.000000000000000000
36,        802.570878735452197361,        802.284750577653312575,          0.286128157798884786,      23208.371962043504026951,          0.000000000000000000
37,        780.236912912554657851,        780.002694481223898038,          0.234218431330759813,      20157.583774598617310403,          0.000000000000000000
38,        758.359161951114629119,        758.187488312645427868,          0.171673638469201251,      15432.582704364660457941,          0.000000000000000000
39,        736.927263056434867394,        736.817442068472701067,          0.109820987962166328,       9314.333053487338474952,          0.000000000000000000
40,        715.927009523724450446,        715.869356505864857354,          0.057653017859593092,       2322.019786128695159277,          0.000000000000000000
41,        695.344384534512414575,        695.321358641474262186,          0.023025893038152390,          0.000000000000000000,          0.000000000000000000
42,        675.167167432239239133,        675.153328775994623356,          0.013838656244615777,          0.000000000000000000,          0.000000000000000000
43,        655.384946438533688706,        655.351140888490590442,          0.033805550043098265,          0.000000000000000000,          0.000000000000000000
44,        635.989509422465175703,        635.908779330073912206,          0.080730092391263497,          0.000000000000000000,          0.000000000000000000
45,        616.974287876908306316,        616.826648023906500384,          0.147639853001805932,          0.000000000000000000,          0.000000000000000000
46,        598.333970990694069769,        598.110627404364095128,          0.223343586329974642,          0.000000000000000000,          0.000000000000000000
47,        580.065957366521843142,        579.770814367439356829,          0.295142999082486313,          0.000000000000000000,          0.000000000000000000
48,        562.169721794688825867,        561.819525879756724862,          0.350195914932101005,       2112.032498191085778672,          0.000000000000000000
49,        544.643301670098480827,        544.268162563869623227,          0.375139106228857599,      15119.462349079833074939,          0.000000000000000000
50,        527.482541059197615141,        527.113827735980521538,          0.368713323217093603,      27760.718896165184560232,          0.000000000000000000
