     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00 -3.494464359664330004e+02  2.824216095248129932e+01  2.111844667172545087e+01  1.773528679340597591e+01  1.557432442132449069e+01  1.406992346227298185e+01  1.406991073114431856e+01 
         1  0.000000000000000000e+00 -3.679144454585475614e+02  1.957451390189908125e+01  1.372894289322903205e+01  1.106541617822995249e+01  9.401478858807877259e+00  8.265492283125240647e+00  8.265482770000744495e+00 
         2  0.000000000000000000e+00 -3.851586911398344455e+02  1.199569421596106622e+01  7.376152768037172791e+00  5.390194443621112441e+00  4.188793574210649240e+00  3.392165112472412147e+00  3.392158548640054505e+00 
         3  0.000000000000000000e+00 -4.008939013253216217e+02  5.745983543973125052e+00  2.288692049590736133e+00  9.315172692963642476e-01  1.535886573019524803e-01 -3.360727083331767062e-01 -3.360766204532410484e-01 
         4  0.000000000000000000e+00 -4.150465648331155535e+02  8.526610640565195354e-01 -1.517084056870771747e+00 -2.300213016140332911e+00 -2.697592723450270569e+00 -2.915352507925945247e+00 -2.915354088472668082e+00 
         5  0.000000000000000000e+00 -4.276816579754154191e+02 -2.795772605136789934e+00 -4.162478593605555943e+00 -4.431245717172259901e+00 -4.493972344382200390e+00 -4.476781759404730110e+00 -4.476781343593756901e+00 
         6  0.000000000000000000e+00 -4.389324273915672165e+02 -5.378442755625655991e+00 -5.834976921091765689e+00 -5.652819547822673485e+00 -5.428754003419271612e+00 -5.214578763645022264e+00 -5.214576693636900018e+00 
         7  0.000000000000000000e+00 -4.489528098667519771e+02 -7.093633885472627298e+00 -6.739524928611444921e+00 -6.172315034619259677e+00 -5.710209178818331566e+00 -5.337124666058116418e+00 -5.337121282590487681e+00 
         8  0.000000000000000000e+00 -4.578850804820276608e+02 -8.125628616106041591e+00 -7.065189217090392049e+00 -6.179852359970027464e+00 -5.528262519987492851e+00 -5.033563022677753906e+00 -5.033558656908553530e+00 
         9  0.000000000000000000e+00 -4.658441335161264760e+02 -8.628290371876119025e+00 -6.968647363928539562e+00 -5.831787030333543953e+00 -5.038031089329251699e+00 -4.457400804991266341e+00 -4.457395771040864929e+00 
        10  0.000000000000000000e+00 -4.729169577420889254e+02 -8.723965126405801129e+00 -6.573080695940006990e+00 -5.249669714304673107e+00 -4.358876371189580823e+00 -3.725661996584221924e+00 -3.725656585094384354e+00 
        11  0.000000000000000000e+00 -4.791678827071846172e+02 -8.508255631207703118e+00 -5.972998745266067999e+00 -4.525176623096740514e+00 -3.579454020201865205e+00 -2.924058600803618901e+00 -2.924053073700179084e+00 
        12  0.000000000000000000e+00 -4.846455443384415958e+02 -8.056597748470267106e+00 -5.240905312114136905e+00 -3.726902225896083110e+00 -2.764636456273819931e+00 -2.114038729708227038e+00 -2.114033316190671030e+00 
        13  0.000000000000000000e+00 -4.893910264090454802e+02 -7.432112513420179312e+00 -4.435282789371740364e+00 -2.908492006918550032e+00 -1.963786480147064140e+00 -1.341190268125501461e+00 -1.341185161903922562e+00 
        14  0.000000000000000000e+00 -4.934424383874502382e+02 -6.690013142925636203e+00 -3.605178248648371664e+00 -2.113401198670544545e+00 -1.215669761531444237e+00 -6.402897579910131753e-01 -6.402851157899931422e-01 
        15  0.000000000000000000e+00 -4.968342513002871783e+02 -5.876878646827435659e+00 -2.789690689240387655e+00 -1.374568336572110638e+00 -5.482859417759300413e-01 -3.526830860209884122e-02 -3.526424993401633401e-02 
        16  0.000000000000000000e+00 -4.995949301762791492e+02 -5.028309015605145760e+00 -2.015855565440006103e+00 -7.124845056184767600e-01  2.291357060403242940e-02  4.624483975521798129e-01  4.624517895063036121e-01 
        17  0.000000000000000000e+00 -5.017463124532953316e+02 -4.168397859659762617e+00 -1.298351373021432664e+00 -1.350747740100359806e-01  4.950110088318524504e-01  8.538209481462217809e-01  8.538236247225086117e-01 
        18  0.000000000000000000e+00 -5.033068889037272129e+02 -3.313187452653437504e+00 -6.431962850715535751e-01  3.584366563950425189e-01  8.736352916164378257e-01  1.148117931821388993e+00  1.148119876266719075e+00 
        19  0.000000000000000000e+00 -5.042977790746674600e+02 -2.476917381627799841e+00 -5.425567203519676696e-02  7.708478472941351356e-01  1.166164326682292085e+00  1.356031742751156344e+00  1.356032966874636259e+00 
        20  0.000000000000000000e+00 -5.047456735416635638e+02 -1.675335046871623490e+00  4.631754258748514985e-01  1.103225324162849574e+00  1.377856016647001525e+00  1.485728387744757129e+00  1.485728927864784055e+00 
