Use the previous files? [y/n]
Invalid file paths.
Couldn't open a log file.
Read the target shape (415 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201102VFMFirstTrialfromDS_2.4mm_filtered.txt
Read the unit sputter yield (169 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201123SputterYield_filtered.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :     415
  # Unit     :     169
  # 1/2 Unit :      84
  # All      :     753
The number of threads
  # Total    :       4
  # Thread   :       3
  # Thread   :       2
  # Thread   :       1
  # Thread   :       0
Computation time for initialization:    0.0023

Have memorized arrays 1 times
Have memorized arrays 2 times
loop:    210000, alpha:   10.5000, rms:    1.7048
loop:    212000, alpha:   10.5000, rms:    1.6969
loop:    214000, alpha:   10.5000, rms:    1.6891
loop:    216000, alpha:   10.5000, rms:    1.6814
loop:    218000, alpha:   10.5000, rms:    1.6738
loop:    220000, alpha:   10.5000, rms:    1.6663
loop:    222000, alpha:   10.5000, rms:    1.6589
loop:    224000, alpha:   10.5000, rms:    1.6516
loop:    226000, alpha:   10.5000, rms:    1.6444
loop:    228000, alpha:   10.5000, rms:    1.6373
loop:    230000, alpha:   10.5000, rms:    1.6302
loop:    232000, alpha:   10.5000, rms:    1.6233
loop:    234000, alpha:   10.5000, rms:    1.6164
loop:    236000, alpha:   10.5000, rms:    1.6096
loop:    238000, alpha:   10.5000, rms:    1.6029
loop:    240000, alpha:   10.5000, rms:    1.5962
loop:    242000, alpha:   10.5000, rms:    1.5896
loop:    244000, alpha:   10.5000, rms:    1.5832
loop:    246000, alpha:   10.5000, rms:    1.5767
loop:    248000, alpha:   10.5000, rms:    1.5704
loop:    250000, alpha:   10.5000, rms:    1.5641
loop:    252000, alpha:   10.5000, rms:    1.5579
loop:    254000, alpha:   10.5000, rms:    1.5518
loop:    256000, alpha:   10.5000, rms:    1.5457
loop:    258000, alpha:   10.5000, rms:    1.5397
loop:    260000, alpha:   10.5000, rms:    1.5338
loop:    262000, alpha:   10.5000, rms:    1.5280
loop:    264000, alpha:   10.5000, rms:    1.5222
loop:    266000, alpha:   10.5000, rms:    1.5164
loop:    268000, alpha:   10.5000, rms:    1.5108
loop:    270000, alpha:   10.5000, rms:    1.5052
loop:    272000, alpha:   10.5000, rms:    1.4996
loop:    274000, alpha:   10.5000, rms:    1.4941
loop:    276000, alpha:   10.5000, rms:    1.4887
loop:    278000, alpha:   10.5000, rms:    1.4834
loop:    280000, alpha:   10.5000, rms:    1.4781
loop:    282000, alpha:   10.5000, rms:    1.4728
loop:    284000, alpha:   10.5000, rms:    1.4676
loop:    286000, alpha:   10.5000, rms:    1.4625
loop:    288000, alpha:   10.5000, rms:    1.4574
loop:    290000, alpha:   10.5000, rms:    1.4524
loop:    292000, alpha:   10.5000, rms:    1.4474
loop:    294000, alpha:   10.5000, rms:    1.4425
loop:    296000, alpha:   10.5000, rms:    1.4376
loop:    298000, alpha:   10.5000, rms:    1.4328
Have memorized arrays 5 times
loop:    300000, alpha:   10.5000, rms:    1.4280
loop:    302000, alpha:   10.5000, rms:    1.4233
loop:    304000, alpha:   10.5000, rms:    1.4186
loop:    306000, alpha:   10.5000, rms:    1.4140
loop:    308000, alpha:   10.5000, rms:    1.4094
loop:    310000, alpha:   10.5000, rms:    1.4049
loop:    312000, alpha:   10.5000, rms:    1.4004
loop:    314000, alpha:   10.5000, rms:    1.3959
loop:    316000, alpha:   10.5000, rms:    1.3916
loop:    318000, alpha:   10.5000, rms:    1.3872
loop:    320000, alpha:   10.5000, rms:    1.3829
loop:    322000, alpha:   10.5000, rms:    1.3786
loop:    324000, alpha:   10.5000, rms:    1.3744
loop:    326000, alpha:   10.5000, rms:    1.3702
loop:    328000, alpha:   10.5000, rms:    1.3661
loop:    330000, alpha:   10.5000, rms:    1.3620
loop:    332000, alpha:   10.5000, rms:    1.3580
loop:    334000, alpha:   10.5000, rms:    1.3539
loop:    336000, alpha:   10.5000, rms:    1.3500
loop:    338000, alpha:   10.5000, rms:    1.3460
loop:    340000, alpha:   10.5000, rms:    1.3421
loop:    342000, alpha:   10.5000, rms:    1.3383
loop:    344000, alpha:   10.5000, rms:    1.3344
loop:    346000, alpha:   10.5000, rms:    1.3307
loop:    348000, alpha:   10.5000, rms:    1.3269
loop:    350000, alpha:   10.5000, rms:    1.3232
loop:    352000, alpha:   10.5000, rms:    1.3195
loop:    354000, alpha:   10.5000, rms:    1.3159
loop:    356000, alpha:   10.5000, rms:    1.3123
loop:    358000, alpha:   10.5000, rms:    1.3087
loop:    360000, alpha:   10.5000, rms:    1.3051
loop:    362000, alpha:   10.5000, rms:    1.3016
loop:    364000, alpha:   10.5000, rms:    1.2982
loop:    366000, alpha:   10.5000, rms:    1.2947
loop:    368000, alpha:   10.5000, rms:    1.2913
loop:    370000, alpha:   10.5000, rms:    1.2879
loop:    372000, alpha:   10.5000, rms:    1.2846
loop:    374000, alpha:   10.5000, rms:    1.2813
loop:    376000, alpha:   10.5000, rms:    1.2780
loop:    378000, alpha:   10.5000, rms:    1.2747
loop:    380000, alpha:   10.5000, rms:    1.2715
loop:    382000, alpha:   10.5000, rms:    1.2683
loop:    384000, alpha:   10.5000, rms:    1.2651
loop:    386000, alpha:   10.5000, rms:    1.2620
loop:    388000, alpha:   10.5000, rms:    1.2588
loop:    390000, alpha:   10.5000, rms:    1.2557
loop:    392000, alpha:   10.5000, rms:    1.2527
loop:    394000, alpha:   10.5000, rms:    1.2497
loop:    396000, alpha:   10.5000, rms:    1.2466
loop:    398000, alpha:   10.5000, rms:    1.2437
Have memorized arrays 6 times
loop:    400000, alpha:   10.5000, rms:    1.2407
loop:    402000, alpha:   10.5000, rms:    1.2378
loop:    404000, alpha:   10.5000, rms:    1.2349
