     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02  4.003802819062508844e-02 
         1  1.226626708849365144e-01  1.226626708849365144e-01  1.226874716160025608e-01  1.227018602027088179e-01  1.227133755260333414e-01  1.227232805673442173e-01  1.227321080732765857e-01  1.227321081573084505e-01 
         2  2.459143339391539063e-01  2.459143339391539063e-01  2.460338272157699957e-01  2.461020111731025695e-01  2.461561950241413776e-01  2.462025732002111056e-01  2.462437450966238062e-01  2.462437454878856347e-01 
         3  4.090214714733417800e-01  4.090214714733417800e-01  4.093610499459244823e-01  4.095513819497179631e-01  4.097014721632845635e-01  4.098292481422894373e-01  4.099421915986425358e-01  4.099421926699288177e-01 
         4  6.135839635338371512e-01  6.135839635338371512e-01  6.143283114157159774e-01  6.147377077501110509e-01  6.150579005268753674e-01  6.153289110797210970e-01  6.155673452967966863e-01  6.155673475537333239e-01 
         5  8.640527566428530815e-01  8.640527566428530815e-01  8.654476524182538322e-01  8.661999839186727002e-01  8.667833522426684478e-01  8.672741095491813823e-01  8.677037469855680696e-01  8.677037510434867373e-01 
         6  1.168053985740915346e+00  1.168053985740915346e+00  1.170410224184716297e+00  1.171656042159787026e+00  1.172613617662369823e+00  1.173414145884658977e+00  1.174111406503914212e+00  1.174111413074619303e+00 
         7  1.536279667524017345e+00  1.536279667524017345e+00  1.539982294932050300e+00  1.541901703618836939e+00  1.543364158175480672e+00  1.544579130315202775e+00  1.545631956015409925e+00  1.545631965914157968e+00 
         8  1.981041772690211200e+00  1.981041772690211200e+00  1.986566480518281441e+00  1.989376004296671496e+00  1.991498531384700232e+00  1.993251173747899285e+00  1.994762323940586279e+00  1.994762338116755185e+00 
         9  2.514316867447297099e+00  2.514316867447297099e+00  2.522252706936409794e+00  2.526215338391027299e+00  2.529184968768707797e+00  2.531623004855088066e+00  2.533715133863147173e+00  2.533715153447723356e+00 
        10  3.147470699845255737e+00  3.147470699845255737e+00  3.158545756011340799e+00  3.163981944488412079e+00  3.168025406607377192e+00  3.171327357031387795e+00  3.174148331466902562e+00  3.174148357821936717e+00 
        11  3.892487218239035762e+00  3.892487218239035762e+00  3.907594465891573332e+00  3.914892320254323987e+00  3.920283032596018291e+00  3.924663638645912389e+00  3.928390984472234226e+00  3.928391019231644243e+00 
        12  4.762455381465157345e+00  4.762455381465157345e+00  4.782678726072639996e+00  4.792303479120657350e+00  4.799367740178731800e+00  4.805082587085031776e+00  4.809927148716538703e+00  4.809927193819110158e+00 
        13  5.771005236184853615e+00  5.771005236184853615e+00  5.797646970540839995e+00  5.810150494060693838e+00  5.819273540304346071e+00  5.826623483580213758e+00  5.832832852666687273e+00  5.832832910386658298e+00 
        14  6.932241645850667489e+00  6.932241645850667489e+00  6.966851804634839773e+00  6.982882486090520757e+00  6.994514689823607689e+00  7.003850335533644333e+00  7.011712285873029415e+00  7.011712358850574311e+00 
        15  8.261822798083999331e+00  8.261822798083999331e+00  8.306230650393921167e+00  8.326543779821603763e+00  8.341207119105883194e+00  8.352933482184793590e+00  8.362779529309573689e+00  8.362779620582340812e+00 
        16  9.778343834808104873e+00  9.778343834808104873e+00  9.834692943203402038e+00  9.860162434437318879e+00  9.878457900800333036e+00  9.893039819511175281e+00  9.905249424222542842e+00  9.905249537263216553e+00 
        17  1.150341202245143357e+01  1.150341202245143357e+01  1.157420152537821600e+01  1.160583444150534227e+01  1.162845154350822341e+01  1.164642083653384930e+01  1.166142712475784116e+01  1.166142726352598480e+01 
        18  1.345950285460521201e+01  1.345950285460521201e+01  1.354763677685978251e+01  1.358659151364619611e+01  1.361432049968083469e+01  1.363628536754396237e+01  1.365458278926123192e+01  1.365458295827336244e+01 
        19  1.566699227166259334e+01  1.566699227166259334e+01  1.577583514207912074e+01  1.582344199806563800e+01  1.585718769593617239e+01  1.588384336957435217e+01  1.590599637383079390e+01  1.590599657823972812e+01 
        20  1.814283018390406710e+01  1.814283018390406710e+01  1.827626368772778775e+01  1.833404457953902167e+01  1.837483920789357938e+01  1.840697754197583791e+01  1.843362819733912161e+01  1.843362844300284209e+01 
        21  2.090160186735018399e+01  2.090160186735018399e+01  2.106407714000647857e+01  2.113376141760214466e+01  2.118277397443654309e+01  2.122128995477267210e+01  2.125316272709109100e+01  2.125316302061414930e+01 
        22  2.395791902628938175e+01  2.395791902628938175e+01  2.415450272763232675e+01  2.423803837260908622e+01  2.429658016315805824e+01  2.434247503687619130e+01  2.438037852577796372e+01  2.438037887452388475e+01 
        23  2.732906952512093923e+01  2.732906952512093923e+01  2.756548641417201750e+01  2.766504866918332439e+01  2.773457677836324820e+01  2.778895946114410265e+01  2.783378664171733874e+01  2.783378705380687634e+01 
        24  3.103725881868892955e+01  3.103725881868892955e+01  3.131993690192953750e+01  3.143793819650398902e+01  3.152006011158738730e+01  3.158414969605722789e+01  3.163687922911848460e+01  3.163687971343853533e+01 
        25  3.511080813271912859e+01  3.511080813271912859e+01  3.544693352886194759e+01  3.558603887945416488e+01  3.568252160377316073e+01  3.575765383787583573e+01  3.581935500058666122e+01  3.581935556683395561e+01 
        26  3.958426109930543646e+01  3.958426109930543646e+01  3.998184822523185034e+01  4.014499902551334287e+01  4.025778488268026223e+01  4.034542442505658499e+01  4.041726721028335589e+01  4.041726786905740454e+01 
